group_x,n_x,region,mean_x,se_x,std_x,sample_size_x,group_y,n_y,mean_y,se_y,std_y,sample_size_y,comparison,p_value,group1,group2,t,significant,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high,test,sample_size,alpha,std_t,std_p,std_p_low,std_p_high,proba_significant,metric,study,clinical_measure,r,std_r
PDM,27.0,Putamen,3.068,0.064,0.33255375505322443,27.0,Control,70.0,3.254,0.044,0.3681304116749932,70.0,Control vs. PDM,0.014,Control,PDM,-2.3948718422044113,True,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,T,97,0.05,0.1261276039195501,0.006020000997478801,0.005856007438774029,0.006188668849869112,0.9999530887793142,subcortical volume,cross-sectional,,,
PDM,27.0,Putamen,3.068,0.064,0.33255375505322443,27.0,PDE,22.0,2.978,0.076,0.35647159774658066,22.0,PDE vs. PDM,0.34,PDE,PDM,0.9058158925070325,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,T,49,0.05,0.1261276039195501,0.066076900048336,0.06427686945172241,0.0679282367554943,8.964408714690677e-11,subcortical volume,cross-sectional,,,
PD,76.0,TotalGrayVol,402.5,2.8,24.40983408382777,76.0,Control,70.0,414.8,2.6,21.753160689885966,70.0,Control vs. PD,0.001,Control,PD,-3.2190571239298174,True,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,T,146,0.05,0.023753862810053,0.0001227312532208264,0.00011938787587115361,0.00012616992655503339,1.0,volume,cross-sectional,,,
PDE,22.0,TotalGrayVol,400.6,4.5,21.106870919205434,22.0,Control,70.0,414.8,2.6,21.753160689885966,70.0,Control vs. PDE,0.004,Control,PDE,-2.7322853422383573,True,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,T,92,0.05,0.023753862810053,0.0005032794324642005,0.0004895693707570212,0.0005173802708297604,1.0,volume,cross-sectional,,,
PDL,27.0,TotalGrayVol,400.3,4.4,22.863070659909184,27.0,Control,70.0,414.8,2.6,21.753160689885966,70.0,Control vs. PDL,0.002,Control,PDL,-2.8371442407062673,True,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,T,97,0.05,0.023753862810053,0.00038114006359022957,0.0003707572554446335,0.0003918188119845569,1.0,volume,cross-sectional,,,
PDL,27.0,TotalGrayVol,400.3,4.4,22.863070659909184,27.0,PDE,22.0,400.6,4.5,21.106870919205434,22.0,PDE vs. PDL,0.959,PDE,PDL,-0.04766711126753898,False,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,T,49,0.05,0.023753862810053,0.018830442476230832,0.018317473911116704,0.01935803213831819,7.439694730063267e-132,volume,cross-sectional,,,
PDL,27.0,TotalGrayVol,400.3,4.4,22.863070659909184,27.0,PDM,27.0,405.1,3.8,19.7453792062852,27.0,PDM vs. PDL,0.364,PDM,PDL,-0.8256250993845397,False,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,T,54,0.05,0.023753862810053,0.013356735601372157,0.012992878750706366,0.013730963431196825,1.0774240720076089e-265,volume,cross-sectional,,,
PDM,27.0,TotalGrayVol,405.1,3.8,19.7453792062852,27.0,Control,70.0,414.8,2.6,21.753160689885966,70.0,Control vs. PDM,0.032,Control,PDM,-2.106705377400884,True,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,T,97,0.05,0.023753862810053,0.00211206225117956,0.002054526612078839,0.0021712378234378243,0.9999999999999135,volume,cross-sectional,,,
PDM,27.0,TotalGrayVol,405.1,3.8,19.7453792062852,27.0,PDE,22.0,400.6,4.5,21.106870919205434,22.0,PDE vs. PDM,0.409,PDE,PDM,0.7640299158469012,False,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,T,49,0.05,0.023753862810053,0.014018671070937815,0.013636782137996217,0.014411444949861043,1.3103971946543e-311,volume,cross-sectional,,,
,,TotalGrayVol,,,,,,,,,,,,0.008,,,,True,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,R,76,0.05,,1.4790447235748998e-06,1.4387534000677898e-06,1.5204844670598424e-06,1.0,volume,cross-sectional,Disease duration,-0.304,0.001612295145309253
,,CortexVol,,,,,,,,,,,,0.005,,,,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,R,76,0.05,,7.667293537645773e-07,7.458425340879818e-07,7.882115085878467e-07,1.0,cortical volume,cross-sectional,Disease duration,-0.316,0.001857226239700867
,,Putamen,,,,,,,,,,,,0.177,,,,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,R,76,0.05,,0.00879593899373558,0.008556324857735123,0.009042382829949378,1.2610754884702347e-88,subcortical volume,cross-sectional,Disease duration,-0.157,0.008874778020320214
,,Caudate,,,,,,,,,,,,0.177,,,,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,R,76,0.05,,0.006794607412315109,0.006609512451365097,0.006984978118325033,4.025623141283745e-147,subcortical volume,cross-sectional,Disease duration,-0.156,0.006645428461449706
,,Pallidum,,,,,,,,,,,,0.993,,,,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,R,76,0.05,,0.12701503388545896,0.12355496013719759,0.13057372980522958,0.006999999997055568,subcortical volume,cross-sectional,Disease duration,-0.001,0.011386312592381084
,,TotalGrayVol,,,,,,,,,,,,0.057,,,,False,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,R,76,0.05,,0.00015662186249794236,0.00015235525579592322,0.00016101007990786709,0.0,volume,cross-sectional,UPDRS-III,-0.219,0.0016513095803944835
,,CortexVol,,,,,,,,,,,,0.045,,,,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,R,76,0.05,,0.00010404021940982597,0.00010120601293102499,0.00010695520902152545,1.0,cortical volume,cross-sectional,UPDRS-III,-0.231,0.0019045878601413836
,,Putamen,,,,,,,,,,,,0.55,,,,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,R,76,0.05,,0.058692123035446825,0.057093264475697035,0.06033655371722954,2.737967695312115e-32,subcortical volume,cross-sectional,UPDRS-III,-0.074,0.008961581655982683
,,Caudate,,,,,,,,,,,,0.374,,,,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,R,76,0.05,,0.02653155222313831,0.025808794258670175,0.027274910893001044,5.463647366617795e-73,subcortical volume,cross-sectional,UPDRS-III,-0.103,0.0066920137485771735
,,Pallidum,,,,,,,,,,,,0.861,,,,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,R,76,0.05,,0.12216775661967981,0.11883972973472905,0.12559064195624592,1.2940980345113488e-08,subcortical volume,cross-sectional,UPDRS-III,-0.02,0.011384040794112621
,,TotalGrayVol,,,,,,,,,,,,0.095,,,,False,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,R,76,0.05,,0.00046626001851207753,0.0004535584193346745,0.00047932365023088306,0.0,volume,cross-sectional,LEDD,-0.193,0.0016605735649135368
,,CortexVol,,,,,,,,,,,,0.072,,,,False,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,R,76,0.05,,0.00030536381020279213,0.00029704525710690755,0.000313919466270988,0.0,cortical volume,cross-sectional,LEDD,-0.207,0.001915133460384613
,,Putamen,,,,,,,,,,,,0.55,,,,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,R,76,0.05,,0.062100771150120776,0.06040905607175383,0.06384070503153703,5.437902025485773e-29,subcortical volume,cross-sectional,LEDD,-0.07,0.008964176426872073
,,Caudate,,,,,,,,,,,,0.008,,,,True,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,R,76,0.05,,5.879670957540053e-06,5.719500192660794e-06,6.044407055355536e-06,1.0,subcortical volume,cross-sectional,LEDD,-0.304,0.006409383563429192
,,Pallidum,,,,,,,,,,,,0.648,,,,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,R,76,0.05,,0.09655763401461695,0.09392726401487746,0.09926297721438648,2.8476412416491268e-15,subcortical volume,cross-sectional,LEDD,-0.053,0.011370314955267696
,,TotalGrayVol,,,,,,,,,,,,0.001,,,,True,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,R,76,0.05,,1.1014737529655982e-08,1.0714680103345981e-08,1.1323347465858362e-08,1.0,volume,cross-sectional,MoCA,0.37,0.0015722865131009975
,,CortexVol,,,,,,,,,,,,0.001,,,,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,R,76,0.05,,3.838054971778771e-09,3.733500787553527e-09,3.945589254533369e-09,1.0,cortical volume,cross-sectional,MoCA,0.384,0.0018074538474317664
,,Putamen,,,,,,,,,,,,0.016,,,,True,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,R,76,0.05,,3.499303632218677e-05,3.4039775258149714e-05,3.597346810077804e-05,1.0,subcortical volume,cross-sectional,MoCA,0.28,0.008626770913258997
,,Caudate,,,,,,,,,,,,0.069,,,,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,R,76,0.05,,0.0008116176610005655,0.0007895080187279367,0.0008343574924225781,3.9494087393238237e-147,subcortical volume,cross-sectional,MoCA,0.213,0.00657340836915184
,,Pallidum,,,,,,,,,,,,0.976,,,,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,R,76,0.05,,0.12682940859216527,0.12337439154612796,0.13038290367898214,0.006461636548418569,subcortical volume,cross-sectional,MoCA,0.004,0.011386227194631001
,,TotalGrayVol,,,,,,,,,,,,0.751,,,,False,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,R,76,0.05,,0.01639935527371056,0.01595261305009203,0.01685883095083439,0.0,volume,cross-sectional,HamD,-0.038,0.001691170302112374
,,CortexVol,,,,,,,,,,,,0.853,,,,False,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,R,76,0.05,,0.020831649036559666,0.02026416470215091,0.021415308326021006,5.24792500879328e-271,cortical volume,cross-sectional,HamD,-0.022,0.001957057972933021
,,Putamen,,,,,,,,,,,,0.973,,,,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,R,76,0.05,,0.10009529872740415,0.09736855760978658,0.10289975990237546,0.00026032701131787787,subcortical volume,cross-sectional,HamD,0.004,0.008986147811266283
,,Caudate,,,,,,,,,,,,0.807,,,,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,R,76,0.05,,0.06914502765929965,0.06726141681648795,0.07108232689291227,9.975244037857876e-29,subcortical volume,cross-sectional,HamD,-0.029,0.00672496686950802
,,Pallidum,,,,,,,,,,,,0.296,,,,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,R,76,0.05,,0.027356062068721737,0.02661084326017384,0.02812252178208719,4.363807674572919e-40,subcortical volume,cross-sectional,HamD,-0.125,0.011297012449563954
