region,hemisphere,NAVR,num,anat,n,timepoint,NAVR_CI_low,NAVR_CI_high
lingual,lh,0.12651449606877904,53.65468964300401,424.09914523814626,103,hc,0.12175571430241179,0.13146216059232554
lingual,rh,0.1265778246089341,53.910307914880455,425.90641829592136,103,hc,0.12181666077006492,0.13152796575279835
medialorbitofrontal,lh,0.2913340454733268,70.96494827374389,243.586183545586,103,hc,0.2803756558294494,0.3027273890511729
medialorbitofrontal,rh,0.2119668592789823,58.436227727141514,275.68567994976087,103,hc,0.20399382807422156,0.2202563513325415
middletemporal,lh,0.11430900921845266,54.7514838958508,478.9778537159465,103,hc,0.11000933095467054,0.11877934777415794
middletemporal,rh,0.09800317760903142,43.58821757055845,444.7633090474569,103,hc,0.09431683533882733,0.1018358360009
paracentral,lh,0.1401702845734945,22.40076481677356,159.81108182047188,103,hc,0.13489784690712447,0.14565199272386067
paracentral,rh,0.12049678437714839,24.54114650023364,203.6664017806582,103,hc,0.11596435593441781,0.12520911129453294
parahippocampal,lh,0.2232323855386261,19.153761303428315,85.80189320296505,103,hc,0.21483560699566484,0.2319624440596328
parahippocampal,rh,0.2784413164668687,22.197918209046858,79.72207031167429,103,hc,0.2679678806079022,0.28933045776039895
parsopercularis,lh,0.0868962354950109,24.69800964366312,284.22416118453305,103,hc,0.08362767549683643,0.09029452924748868
parsopercularis,rh,0.13094931648632838,28.086970446939077,214.48733907573674,103,hc,0.12602372108835425,0.13607041570969203
parsorbitalis,lh,0.1798368191099912,18.224977730946687,101.341748709423,103,hc,0.17307234387359727,0.18686978590499176
parsorbitalis,rh,0.1750594808937409,22.13252331974101,126.42858990982155,103,hc,0.16847470293079542,0.18190561797717486
parstriangularis,lh,0.11282810140559611,25.29000782705409,224.1463563774879,103,hc,0.1085841267751246,0.11724052537225438
parstriangularis,rh,0.11672798958180422,32.35661932341401,277.1967498055652,103,hc,0.11233732253804814,0.12129292839043548
pericalcarine,lh,0.1321000684797776,40.02707168296313,303.00568458138713,103,hc,0.12713118810044402,0.1372661707264335
pericalcarine,rh,0.13585540171250976,42.69209524333363,314.24657912150195,103,hc,0.1307452662843884,0.14116836561997947
postcentral,lh,0.12695997143300555,64.65378665209077,509.24544108146233,103,hc,0.12218443332561399,0.1319250573803745
postcentral,rh,0.1013279055975299,47.93887086494452,473.10630356217627,103,hc,0.09751650528716892,0.10529058575947449
posteriorcingulate,lh,0.13377880364840822,22.793906002676458,170.38503395935902,103,hc,0.12874677845516577,0.13901055701565782
posteriorcingulate,rh,0.15261365933192914,30.385155665874617,199.09853285011673,103,hc,0.1468731701240162,0.15858199664937536
precentral,lh,0.08211681950670911,45.49272229628394,554.0000522373749,103,hc,0.07902803493637692,0.08532820229116837
precentral,rh,0.1034755915644588,59.40970354479191,574.1421976581153,103,hc,0.0995834070820315,0.10752226233614756
precuneus,lh,0.07004524847388222,37.2432173253579,531.7022658466946,103,hc,0.06741053022723197,0.07278454240213547
precuneus,rh,0.06943483684862872,37.133022891980424,534.7895174425512,103,hc,0.06682307894093169,0.0721502591097065
rostralanteriorcingulate,lh,0.19979338653016834,36.37054528874221,182.04078683680723,103,hc,0.19227825463300105,0.20760680460707492
rostralanteriorcingulate,rh,0.17384682137345153,22.45758860684633,129.18032339862998,103,hc,0.16730765701363676,0.180645534385541
rostralmiddlefrontal,lh,0.09269075979369074,77.94424732341727,840.9063373404646,103,hc,0.08920424155804806,0.09631566285335669
rostralmiddlefrontal,rh,0.0931611555626335,91.16158073083358,978.5363886941528,103,hc,0.08965694361695933,0.09680445462062648
superiorfrontal,lh,0.08025407356378256,73.1557328899633,911.55164643228,103,hc,0.07723535528390735,0.083392609027938
superiorfrontal,rh,0.09624079072805397,94.57203362747437,982.6606048437925,103,hc,0.09262073979058318,0.10000452659073637
superiorparietal,lh,0.07249170270803039,55.02408828197099,759.0398104399278,103,hc,0.06976496226500363,0.0753266713233661
superiorparietal,rh,0.08382121365066818,52.89968058621881,631.101343947161,103,hc,0.08066831911644247,0.08709925101386932
superiortemporal,lh,0.10596639756920723,51.3314347275376,484.412378877113,103,hc,0.10198052261993801,0.11011047751445054
superiortemporal,rh,0.10204590932518848,41.38721214759773,405.5744362638741,103,hc,0.0982075016508215,0.10603666881149111
supramarginal,lh,0.06171231716445175,44.02031610543482,713.3149122909928,103,hc,0.05939103811099996,0.06412573105604576
supramarginal,rh,0.0777918873603951,43.680074942419175,561.4991025999619,103,hc,0.07486578302733363,0.08083413289962177
temporalpole,lh,0.3525674591917815,24.336042967252464,69.02521016273003,103,hc,0.33930580421665396,0.3663554879489903
temporalpole,rh,0.3281008162640748,22.230327668747833,67.75456374011445,103,hc,0.3157594622652503,0.340932016001802
transversetemporal,lh,0.17835828193985276,13.2740280533741,74.4233904307873,103,hc,0.1716494211661867,0.1853334268556952
transversetemporal,rh,0.22232171727826472,10.202844131877523,45.892251358904936,103,hc,0.21395919308280734,0.23101616184842377
