Paper,Region,Method,Mean_pval,Std_pval,P_cross
Liu_2012,precentral,AD,0.05,0.0162801309994246,0.5411842147086837
Liu_2012,superiorparietal*,AD,0.013,0.002796118552376731,1.1102230246251565e-16
Liu_2012,postcentral,AD,0.124,0.0346005518519051,0.004144468587519984
Liu_2012,paracentral,AD,0.044,0.01421359812729851,0.3064562439036327
Liu_2012,inferiorparietal*,AD,0.001,0.0004405281237026497,0.0
Liu_2012,supramarginal,AD,0.047,0.01145644834314098,0.3694544307516272
Liu_2012,pericalcarine*,AD,0.013,0.006423143190122451,0.00011784049987373368
Liu_2012,precuneus*,AD,0.013,0.003313796054813342,1.9821921881657545e-12
Liu_2012,lingual,AD,0.087,0.03393288443500967,0.1260606561375046
Liu_2012,cuneus,AD,0.021,0.007880135946470591,0.0023092279052020492
Liu_2012,lateraloccipital*,AD,0.001,0.00038192561170568076,0.0
Liu_2012,isthmuscingulate,AD,0.064,0.02324295195254386,0.29824093229834275
Liu_2012,caudalanteriorcingulate,AD,0.82,0.14755616751358133,7.454530750304056e-07
Liu_2012,rostralanteriorcingulate,AD,0.23,0.08760966588565784,0.002848953662228767
Liu_2012,posteriorcingulate,AD,0.029,0.012161735753441824,0.059066173713542836
Liu_2012,Hippocampus,AD,0.355,0.03921285858356813,1.1323716963280302e-30
Liu_2012,Amygdala,AD,0.312,0.0769323192345372,5.175164375273288e-07
Liu_2012,Caudate,AD,0.396,0.054066431338167104,4.2762390576781044e-21
Liu_2012,Accumbensarea,AD,0.686,0.1519490780998625,5.514885801180322e-07
Liu_2012,Putamen,AD,0.486,0.07628073437327788,2.925613546086425e-16
Liu_2012,Pallidum,AD,0.733,0.12316698722032385,2.738484390750253e-10
Liu_2012,Brain-Stem,AD,0.35,0.04021778921382606,2.403921282998558e-28
Liu_2012,CortexVol,AD,0.736,0.024702153993579123,8.045012888412307e-229
Liu_2012,CerebellumCortex,AD,0.387,0.02757740285402139,6.829575836727477e-73
Liu_2012,Thalamus,AD,0.116,0.028774193603752392,0.0024951603141790232
Liu_2012,CC_Anterior,AD,0.721,0.15870510983621808,1.5040028116780374e-06
