region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
eTIV,lh,26,0,0.0,-0.0143249672055227,7.786911034219302e-05,-0.0145086026086644,-0.014203056477824053,0.8819222986375757,0.0006372095386182404,0.8804197487290149,0.8829199736035269,112.0,112.0,112.0
cuneus,rh,26,0,0.0,-0.01606956592174711,0.008339329745738503,-0.028829746623375802,0.008372760457603056,0.8620350908179018,0.05450682170404722,0.7649576108742322,0.9910955799502204,112.0,112.0,112.0
cuneus,lh,26,0,0.0,-0.044420236041874256,0.012161232521524212,-0.071750349719811,-0.019003749613387296,0.6474612884700353,0.08963453642052177,0.4563392108630481,0.8437853255826954,112.0,112.0,112.0
caudalmiddlefrontal,rh,26,0,0.0,-0.06617901629167534,0.009649085390552875,-0.08664861325705372,-0.05233546426705024,0.4942162670078754,0.06230205960305614,0.36807166757938103,0.5871291254783177,112.0,112.0,112.0
caudalmiddlefrontal,lh,26,0,0.0,-0.07378181690452626,0.026339223203161993,-0.10515930918767527,-0.017116837023811404,0.4583729433891382,0.17790723083559817,0.2742376600618858,0.8591273563853277,112.0,112.0,112.0
caudalanteriorcingulate,rh,26,0,0.0,-0.02050716759487288,0.011391430105366357,-0.046277069666954426,0.0015810122742846294,0.8317295394410489,0.08945892882289887,0.6311770138752112,0.9869213563764867,112.0,112.0,112.0
caudalanteriorcingulate,lh,26,0,0.0,-0.06369844788499615,0.013775441476566775,-0.08664951818111392,-0.030146784189976305,0.5124976720301289,0.09427377402916307,0.36806664659168076,0.7545531895839348,112.0,112.0,112.0
bankssts,rh,26,0,0.0,-0.1597269861547646,0.015705547771379006,-0.1848094637885477,-0.1309295234485218,0.09989524820996111,0.03410062894128301,0.0532559274440218,0.17275945380592816,112.0,112.0,112.0
insula,lh,26,0,0.0,-0.03372768012263308,0.02233357874830635,-0.07307492110488098,0.014963756838893675,0.7215238991496975,0.15238504948069867,0.4480462800266882,0.9830498603988118,112.0,112.0,112.0
inferiortemporal,rh,26,0,0.0,-0.09497796098583151,0.01185766633953031,-0.11660180884595835,-0.0748495282597062,0.327146025791851,0.06016024468218515,0.22509050706439554,0.437069250349601,112.0,112.0,112.0
frontalpole,lh,26,0,0.0,0.08094157056035312,0.029575301994434852,-0.0006856443063262002,0.12717887363232325,0.4196724329120912,0.17943373186954445,0.18549999307755355,0.994327925724077,112.0,112.0,112.0
inferiorparietal,lh,26,0,0.0,-0.17540724304460703,0.006561874759367588,-0.18599672580081988,-0.16410994868471643,0.06744655964837257,0.010535070136526829,0.05171753249621202,0.08668069276884137,112.0,112.0,112.0
frontalpole,rh,26,0,0.0,-0.007915202617523326,0.03742187376728547,-0.08117746774569,0.07577518311011266,0.7492326897602724,0.15489968635754617,0.39919314948523454,0.9997886445443307,112.0,112.0,112.0
lingual,lh,26,0,0.0,0.09894223401135853,0.009109023013035669,0.08353801196526799,0.12144801682546603,0.3058347159085683,0.044312757917829584,0.20626916610010196,0.38557870224287594,112.0,112.0,112.0
lingual,rh,26,0,0.0,0.06915060728751057,0.011442318295612326,0.04889048606189103,0.09854855335767228,0.4758717444580862,0.0708405736949515,0.3057056010247881,0.6120049309985944,112.0,112.0,112.0
medialorbitofrontal,lh,26,0,0.0,0.037615827222385864,0.019665124896462445,-0.010713964379416305,0.07500051315310065,0.694960123173492,0.13492462646665912,0.43614241888142447,0.9705354901545322,112.0,112.0,112.0
medialorbitofrontal,rh,26,0,0.0,-0.05947183813009433,0.023471841064074215,-0.09563254725457306,-0.006405528112704444,0.5479313032916355,0.16334601635743476,0.32030814589464396,0.9470474521854674,112.0,112.0,112.0
middletemporal,lh,26,0,0.0,-0.10267809915820607,0.014408569105401307,-0.13722233480018478,-0.08084936886914425,0.2908926640347004,0.0641603792734087,0.15285160597497358,0.4011077793726857,112.0,112.0,112.0
middletemporal,rh,26,0,0.0,-0.16580621891828684,0.010918606758135925,-0.1873268021134057,-0.14245889110759907,0.08540484445533339,0.021467471077279053,0.05003782281874365,0.13764009931080579,112.0,112.0,112.0
paracentral,lh,26,0,0.0,-0.12809591031765893,0.013551336253177896,-0.1575708628225391,-0.1018848850411528,0.18650747401121517,0.04762768577402052,0.10017085729576097,0.2895406832244639,112.0,112.0,112.0
paracentral,rh,26,0,0.0,-0.13948390417846535,0.011485218341619466,-0.15792214918600972,-0.10509107896996916,0.14897675934929994,0.036505079831412185,0.09940650733111306,0.2745508679839162,112.0,112.0,112.0
parahippocampal,lh,26,0,0.0,0.004397193280310328,0.017424924351436187,-0.03572333975403757,0.03663250571293522,0.8763525057157892,0.07572213989789306,0.7039873029865644,0.9931554403960283,112.0,112.0,112.0
parahippocampal,rh,26,0,0.0,0.018524235147631997,0.025821324630518023,-0.03621984146808995,0.0801024972427129,0.8011748390558519,0.14925603503478885,0.40548639443511447,0.9807234078884308,112.0,112.0,112.0
isthmuscingulate,lh,26,0,0.0,-0.006454486085329051,0.014180852908362292,-0.031199678956191284,0.025200401289404067,0.8990596564216867,0.07612610078054013,0.7462668363013092,0.9995284885799336,112.0,112.0,112.0
isthmuscingulate,rh,26,0,0.0,-0.048570527851192244,0.016469705777727495,-0.08466779018203043,-0.019040897169702226,0.6193181311945456,0.11772006499225389,0.37916291031817273,0.8434838539250933,112.0,112.0,112.0
lateraloccipital,lh,26,0,0.0,-0.05292137624970542,0.009445277483531755,-0.07090802184342483,-0.034082919743554214,0.5846332917396719,0.0677585776518511,0.4616568399798958,0.7237256858469171,112.0,112.0,112.0
lateraloccipital,rh,26,0,0.0,-0.1158146328506635,0.008617118454289448,-0.1347525725466485,-0.09756297542194883,0.23005361042522737,0.035372902241988115,0.16044914900382062,0.31059160771126076,112.0,112.0,112.0
lateralorbitofrontal,lh,26,0,0.0,-0.008845744631913344,0.015118760743799232,-0.03815718930538657,0.01401899707703373,0.8889336967704753,0.08815758956861251,0.6922757957797516,0.9959976740169746,112.0,112.0,112.0
lateralorbitofrontal,rh,26,0,0.0,-0.011368508586282347,0.028097961818553483,-0.0777369113091036,0.043419318601850776,0.8196742257210219,0.15239530422841446,0.41953949906788657,0.9995950282979149,112.0,112.0,112.0
parstriangularis,rh,26,0,0.0,0.04876913268570164,0.016395999141999323,0.015460680497059927,0.086329490634325,0.6178901376522841,0.11592128124776578,0.36984494660851,0.872636722737673,112.0,112.0,112.0
