region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
paracentral,rh,26,4,0.15384615384615385,-0.17668397206594136,0.013675208705182792,-0.20383457028246413,-0.15094834557615908,0.06748134209728801,0.021300584846340453,0.03268826593011389,0.1154624340829139,112.0,112.0,112.0
parsorbitalis,rh,26,4,0.15384615384615385,-0.1610112766734056,0.024548168905667002,-0.20362705996037447,-0.12079352289532136,0.103320261463758,0.0534794453781936,0.032869783592992044,0.20874303968359403,112.0,112.0,112.0
temporalpole,rh,26,2,0.07692307692307693,-0.143222549077296,0.02607615254969547,-0.1972886909983476,-0.09883416227180143,0.1490575060192265,0.07140012933434536,0.03883837585489267,0.3042991379922869,112.0,112.0,112.0
middletemporal,lh,26,1,0.038461538461538464,-0.16263130955960722,0.015331954983780463,-0.18742521868498704,-0.12711091182897735,0.09366963420608444,0.03311956951569474,0.04991534875706762,0.18573700626128575,112.0,112.0,112.0
precentral,rh,26,1,0.038461538461538464,-0.14696034882607056,0.018654835384471807,-0.1929446037028892,-0.1188185210777358,0.1321996875281686,0.04652984691677868,0.0434330444374553,0.21633652579421495,112.0,112.0,112.0
caudalmiddlefrontal,lh,26,1,0.038461538461538464,-0.15476683150899953,0.019954892392233033,-0.19259666764730451,-0.11658490643031791,0.1138880877142104,0.04953007522522725,0.04381985916858188,0.22515820065356412,112.0,112.0,112.0
lateralorbitofrontal,rh,26,1,0.038461538461538464,-0.15615769160736856,0.022765071894957717,-0.19802387716088318,-0.08540940076742673,0.11340950056429565,0.0679428793351814,0.03810257877136021,0.3749868741046496,112.0,112.0,112.0
BrainSegVolNotVent,lh,26,0,0.0,-0.059402898898889576,0.003477971143702938,-0.06675557744227989,-0.053566455282051444,0.53785035162153,0.0237487993609475,0.4883636076977429,0.5783536237581912,112.0,112.0,112.0
bankssts,lh,26,0,0.0,-0.06267472514985598,0.014530098171951387,-0.08648942485913638,-0.032605591472336125,0.519840927618402,0.09822898630980453,0.368955581527187,0.7352473132157584,112.0,112.0,112.0
BrainSegVolNotVent,rh,26,0,0.0,-0.059402898898889576,0.003477971143702938,-0.06675557744227989,-0.053566455282051444,0.53785035162153,0.0237487993609475,0.4883636076977429,0.5783536237581912,112.0,112.0,112.0
entorhinal,rh,26,0,0.0,-0.1069091839921473,0.03168528721656936,-0.18500596231853653,-0.051641760049182,0.28952825454071807,0.1249533255299157,0.052998742474466405,0.5921010409147887,112.0,112.0,112.0
entorhinal,lh,26,0,0.0,-0.04767426466681072,0.037674555533428,-0.1523886082969312,0.018148713706720068,0.6309893239482423,0.2200547246052744,0.11199164870799051,0.9409878882387728,112.0,112.0,112.0
eTIV,rh,26,0,0.0,-0.0143249672055227,7.786911034219302e-05,-0.0145086026086644,-0.014203056477824053,0.8819222986375757,0.0006372095386182404,0.8804197487290149,0.8829199736035269,112.0,112.0,112.0
eTIV,lh,26,0,0.0,-0.0143249672055227,7.786911034219302e-05,-0.0145086026086644,-0.014203056477824053,0.8819222986375757,0.0006372095386182404,0.8804197487290149,0.8829199736035269,112.0,112.0,112.0
caudalmiddlefrontal,rh,26,0,0.0,-0.07819925205727697,0.013575538985900318,-0.09668067591867548,-0.03450357152163842,0.42098572937817863,0.08656457993317043,0.31500848333190945,0.7204561671703431,112.0,112.0,112.0
bankssts,rh,26,0,0.0,-0.1397716105641814,0.013948433150827265,-0.1606113130929348,-0.110510908627069,0.14946881055701847,0.043519408026300985,0.0937062650164421,0.25041906842997885,112.0,112.0,112.0
caudalanteriorcingulate,lh,26,0,0.0,0.029591780107508056,0.016996750403505116,-0.0038730812706529558,0.07205500144487206,0.7599419188422203,0.1272192143706846,0.45442433506587543,0.967967696535218,112.0,112.0,112.0
caudalanteriorcingulate,rh,26,0,0.0,0.07904789942060174,0.020540479789264883,0.037087436061359856,0.12273871710131017,0.42160745069641387,0.1221044568554481,0.20145221589349357,0.700485458120737,112.0,112.0,112.0
lateralorbitofrontal,lh,26,0,0.0,-0.06819993677572667,0.023209416053734205,-0.11015096648835941,0.001586383477498319,0.48900656407744314,0.15263588867986325,0.25197492180944997,0.9868769279946754,112.0,112.0,112.0
insula,rh,26,0,0.0,-0.11523088661357851,0.030219022620161722,-0.18271072859579304,-0.061745656345444606,0.25191229711541385,0.12207728919636746,0.05606749036141529,0.5216474464784104,112.0,112.0,112.0
inferiorparietal,rh,26,0,0.0,-0.15839141443653,0.014775673617235271,-0.1858193097821165,-0.13487582226378117,0.10224223328770307,0.03175399134989084,0.051945061743393466,0.1600634555471622,112.0,112.0,112.0
insula,lh,26,0,0.0,-0.023080051866104477,0.026152654726843326,-0.07387518514487094,0.025220237886519104,0.7755337588402476,0.15691540069461524,0.4430771507079184,0.9907156790424221,112.0,112.0,112.0
inferiortemporal,rh,26,0,0.0,-0.12491787379210509,0.01221650998646989,-0.150040564790676,-0.09686757074337886,0.19697371907358913,0.0453962364913175,0.11769250946514907,0.3140694890439629,112.0,112.0,112.0
inferiortemporal,lh,26,0,0.0,-0.12692841586824483,0.018691064882528127,-0.1609089790462881,-0.10068174136481704,0.1943294227134405,0.0654439963426539,0.09309152529559267,0.2953033453772176,112.0,112.0,112.0
frontalpole,lh,26,0,0.0,0.1336220137328796,0.019854993527279503,0.09113076271815261,0.17708134508218631,0.1726114770100145,0.06481480581207257,0.06421516590690492,0.3437197482020512,112.0,112.0,112.0
frontalpole,rh,26,0,0.0,0.0664183097481213,0.021742517468029878,0.02748895183492082,0.11348504220980982,0.5010564387744265,0.13738796792836047,0.2378163535444796,0.7755928378112904,112.0,112.0,112.0
parstriangularis,rh,26,0,0.0,0.03492088153225229,0.02479579009969361,-0.012668975221813216,0.09885117842703016,0.7152110706281751,0.1659201788342192,0.3042154769560531,0.9749741704062924,112.0,112.0,112.0
parstriangularis,lh,26,0,0.0,0.06165781067180852,0.019248189318244614,0.03654259234736381,0.1046479285159918,0.5302838277416212,0.1242324438621293,0.2765909936211254,0.704680150638839,112.0,112.0,112.0
parsorbitalis,lh,26,0,0.0,-0.03319500953078725,0.023723356026006646,-0.07925497037550182,0.013253315993680216,0.7207256592718677,0.15633024491921174,0.41048906501161053,0.9640709896797999,112.0,112.0,112.0
