region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
cuneus,rh,26,1,0.038461538461538464,-0.12471871617888437,0.04941764312476272,-0.21100186582051814,-0.022302658507367307,0.2666365618112453,0.2110875396981507,0.03509353642548472,0.8256764805570724,103.0,103,103
lateralorbitofrontal,lh,26,1,0.038461538461538464,0.11117627033400275,0.04403221028754689,-0.00835874319930461,0.20676164696466848,0.3047443970192848,0.20546329466230764,0.039019548159901496,0.9342189324126821,103.0,103,103
middletemporal,lh,26,1,0.038461538461538464,-0.11324540430197853,0.050579465081613595,-0.21537148497426864,-0.02115421520529716,0.31528691701775124,0.2214010845516211,0.03140054946532541,0.8345216934083874,103.0,103,103
medialorbitofrontal,lh,26,1,0.038461538461538464,0.04758814100003891,0.07278764530855575,-0.05021167841415146,0.20364568308170133,0.5864865858043824,0.30158623754097874,0.04213323665837765,0.9566561862561342,103.0,103,103
insula,rh,26,1,0.038461538461538464,0.012728963485664452,0.09858331799777366,-0.1889092005081142,0.23492559492903942,0.48926818005390427,0.2656276738040128,0.018635237715390145,0.9743070462862362,103.0,103,103
BrainSegVolNotVent,rh,26,0,0.0,-0.09395835120422111,0.01828950756524504,-0.12585575372101607,-0.055356326393012356,0.3598838548049469,0.09586273834356566,0.2121401266178275,0.584362712438488,103.0,103,103
BrainSegVolNotVent,lh,26,0,0.0,-0.09395835120422111,0.01828950756524504,-0.12585575372101607,-0.055356326393012356,0.3598838548049469,0.09586273834356566,0.2121401266178275,0.584362712438488,103.0,103,103
bankssts,lh,26,0,0.0,-0.05304215688011628,0.05516621509610242,-0.14618827002643786,0.06396939629421756,0.5698531284290691,0.27183682489665834,0.14669284641141964,0.9719355225454813,103.0,103,103
entorhinal,lh,26,0,0.0,-0.058671927234814215,0.06897663442393187,-0.1634038222565394,0.11343945743393481,0.5026684660797387,0.2789770795660084,0.10428353718620811,0.9983910099691276,103.0,103,103
paracentral,lh,26,0,0.0,-0.02047411144873199,0.03847727120122589,-0.09722233875728185,0.0444090866401244,0.7330363476463527,0.1665346691758707,0.3359078916289806,0.9850325492782954,103.0,103,103
paracentral,rh,26,0,0.0,-0.07110113395462976,0.059089310334325844,-0.17567409028044706,0.05786891527590187,0.47789193221354603,0.25651931847584103,0.08041595167983923,0.9203903071430806,103.0,103,103
medialorbitofrontal,rh,26,0,0.0,0.054996998996050324,0.07177483305496632,-0.06767038773069384,0.18013812895317863,0.5480155160761493,0.3147953580114595,0.0729033941609999,0.9748077648521303,103.0,103,103
middletemporal,rh,26,0,0.0,-0.0513301453982813,0.05554621071557145,-0.16434029961170718,0.06845501136737996,0.5958422552003095,0.25907056723459104,0.10228603175771722,0.9138109205621543,103.0,103,103
lateralorbitofrontal,rh,26,0,0.0,-0.030130207174527825,0.07963522601442642,-0.19196501297908156,0.12221404112344424,0.5375738102325952,0.2655395874494974,0.05570318450229255,0.983190175824567,103.0,103,103
cuneus,lh,26,0,0.0,-0.0553784722032172,0.0607705133961975,-0.16783894131026428,0.04920362599589032,0.5333724220358609,0.24642630370039012,0.0950874992476541,0.9705673040100304,103.0,103,103
eTIV,lh,26,0,0.0,-0.05989302069864448,0.00029697050347747783,-0.06046119694851589,-0.059381769020435196,0.5538977923536079,0.001968191448522179,0.5501351884039245,0.5572909033202833,103.0,103,103
eTIV,rh,26,0,0.0,-0.05989302069864448,0.00029697050347747783,-0.06046119694851589,-0.059381769020435196,0.5538977923536079,0.001968191448522179,0.5501351884039245,0.5572909033202833,103.0,103,103
frontalpole,rh,26,0,0.0,0.05084563453826541,0.06781726020199176,-0.088918124224399,0.17994309520195617,0.5133925514607361,0.23438504970638754,0.07321936091541713,0.872417111311236,103.0,103,103
frontalpole,lh,26,0,0.0,0.04710784358358432,0.05779418088055371,-0.07385882874031045,0.13685672072902227,0.5554946335683723,0.2448273427475728,0.17454020282600477,0.9833300913664802,103.0,103,103
entorhinal,rh,26,0,0.0,0.030809591677391963,0.05589861130870372,-0.09192096784181497,0.12080015974547707,0.6212201019985003,0.22581058921072955,0.23122707795271177,0.9378780789377399,103.0,103,103
fusiform,lh,26,0,0.0,0.025184698926157732,0.04768417458554236,-0.07239503743528508,0.1091272149031828,0.6841752930558631,0.20991068268451074,0.27979334312158766,0.987060497108474,103.0,103,103
inferiorparietal,rh,26,0,0.0,-0.10950687177507329,0.03626113602403427,-0.18046684014265843,0.005219150211334888,0.3018889078297893,0.17638239568697867,0.072373348537501,0.9588986797286583,103.0,103,103
fusiform,rh,26,0,0.0,-0.03565685920394423,0.05621239466091007,-0.14917312781860306,0.07014367336909451,0.6250958816112355,0.24301854280768165,0.13853248360591297,0.9926096363472785,103.0,103,103
inferiortemporal,rh,26,0,0.0,-0.03731087519198898,0.0444471084724475,-0.1382802933378549,0.040533703151184916,0.6555402186322834,0.19707933713465225,0.17005758410710192,0.8824943757715316,103.0,103,103
inferiortemporal,lh,26,0,0.0,-0.05154950169236212,0.05395157620533842,-0.1484908181763469,0.10700366727689507,0.5552797897458419,0.2249679163329466,0.14036680236492516,0.9505137547807616,103.0,103,103
precuneus,lh,26,0,0.0,-0.08572188981994167,0.04074399203511953,-0.15578540155825896,-0.020644530993258903,0.43096703064888986,0.22209354860841343,0.12168643778738814,0.8384539217541689,103.0,103,103
precentral,rh,26,0,0.0,-0.09524750231365602,0.031120102258579262,-0.16492864793107873,-0.04517772796615552,0.3669564548755143,0.15699239554866304,0.10104649939268028,0.6553622660504397,103.0,103,103
precentral,lh,26,0,0.0,-0.07927061401714476,0.03052511126204539,-0.13088536995807787,-0.015220134369276295,0.45184992920682127,0.18292470036374803,0.194290862030884,0.8805307057776111,103.0,103,103
parstriangularis,lh,26,0,0.0,-0.007707924705546218,0.0562236358320374,-0.11364407814248183,0.0826263226420414,0.6431681460402114,0.18672988999023848,0.26024824665934587,0.9390909813447694,103.0,103,103
parsorbitalis,rh,26,0,0.0,0.07456708390385822,0.05904052864945272,-0.08276171126227484,0.15632706426455986,0.4541894193497535,0.25397579707057444,0.12037962491086357,0.927598185539054,103.0,103,103
