region,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
CC_Central,26,0,0.0,0.0594097643352642,0.020713178943854018,0.018156979688125383,0.09023313553400615,0.5460762545143542,0.1443543632285878,0.3485135617119862,0.8506633387227284,112.0,112.0,112.0
CSF,26,0,0.0,-0.044831156399249866,0.014460857424643387,-0.07256753313735874,-0.016836142909666806,0.6454264264397638,0.10645027283024137,0.4512129369111527,0.8614142456890523,112.0,112.0,112.0
CortexVol,26,0,0.0,-0.15738126871955904,0.0034556023984345244,-0.16511730331242805,-0.15018912854877423,0.10079936833687775,0.007500137342954567,0.08473755631934282,0.11732528081743378,112.0,112.0,112.0
CerebralWhiteMatterVol,26,0,0.0,0.027739035653783224,0.004660421580238183,0.01664731328461108,0.03469327356529702,0.7738450890524168,0.037076651952869064,0.7189833499940033,0.8629533366998697,112.0,112.0,112.0
Left-Accumbens-area,26,0,0.0,0.11339000547659055,0.02128370701095125,0.05448233111775339,0.15207973813165865,0.24913669754723397,0.09781255043658885,0.11272905313341254,0.5718642334450617,112.0,112.0,112.0
BrainSegVolNotVent,26,0,0.0,-0.059402898898889576,0.003477971143702938,-0.06675557744227989,-0.053566455282051444,0.53785035162153,0.0237487993609475,0.4883636076977429,0.5783536237581912,112.0,112.0,112.0
Optic-Chiasm,26,0,0.0,0.06206272224955534,0.05330163822192383,-0.0412162603864916,0.14587843898638606,0.5311072733375479,0.28731868990822973,0.12834638442411261,0.9554512861874223,112.0,112.0,112.0
MaskVol-to-eTIV,26,0,0.0,-0.06799424580782473,0.0031236267704782303,-0.07248638544206505,-0.06102194775922814,0.48053093882626413,0.02032575123281018,0.4517205431724709,0.5265488026775373,112.0,112.0,112.0
MaskVol,26,0,0.0,-0.054429639858195815,0.0020276052828444376,-0.05704935968991798,-0.050037530996446984,0.5723171326211962,0.014374309224650536,0.5538599264083893,0.6036712039096639,112.0,112.0,112.0
Left-vessel,26,0,0.0,-0.1381770158318673,0.019161715679855914,-0.1856154989081146,-0.10261111594431348,0.15767733171345022,0.05708173977489788,0.05220745979606884,0.2860986614876523,112.0,112.0,112.0
Left-non-WM-hypointensities,0,0,0.0,,,,,,,,,112.0,112.0,112.0
Left-choroid-plexus,26,0,0.0,0.002335782920081912,0.023467603973675786,-0.06536498017952234,0.04419606282935609,0.8559202417052761,0.11850672159877902,0.49748745989872745,0.9842293062479138,112.0,112.0,112.0
Left-WM-hypointensities,0,0,0.0,,,,,,,,,112.0,112.0,112.0
Left-VentralDC,26,0,0.0,-0.029811788742427868,0.011455216873901308,-0.0550661026880701,-0.009556308454660739,0.7587790894754859,0.08982264702593247,0.5677458425654984,0.9210710082271931,112.0,112.0,112.0
