region,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
Left-VentralDC,26,0,0.0,-0.040760383592802096,0.05472953925046542,-0.13095480655863365,0.08665314275402254,0.6183676638598575,0.25804461755109936,0.19405228319228504,0.9922251932370396,103.0,103,103
Right-Pallidum,26,0,0.0,-0.015386238878832996,0.060699750648342134,-0.16290618821069566,0.06679352150761665,0.643361807845885,0.21541676539213905,0.10535733276024867,0.9935966306391107,103.0,103,103
Right-Lateral-Ventricle,26,0,0.0,-0.0372333780755671,0.019304639030764254,-0.0747574627065327,0.009486601254796237,0.7118028278511166,0.12847179325239674,0.45977886608217566,0.9253670066127883,103.0,103,103
Right-choroid-plexus,26,0,0.0,-0.10035385466896221,0.04184795262929393,-0.1851709978043341,-0.0010197003786474152,0.356823115795834,0.2186050035380167,0.06512278537428763,0.9919663930472975,103.0,103,103
Right-VentralDC,26,0,0.0,0.017779105042147744,0.04119503686734535,-0.09052647197175694,0.0888090956103219,0.7248851143178153,0.17364162980884063,0.37040004631540635,0.9522720996386456,103.0,103,103
Right-vessel,12,0,0.0,-0.029352919952842366,0.07913322125775948,-0.1921200936544207,0.09998601496266803,0.5703106987569179,0.2670880717907035,0.05676957681949511,0.9642687889769548,102.5,102,103
SupraTentorialVol,26,0,0.0,-0.10647717971381264,0.01890667773425675,-0.1415665503023689,-0.0748658208035495,0.29972728465882426,0.0876112260889329,0.1600350432022644,0.45912677599164076,103.0,103,103
SupraTentorialVolNotVent,26,0,0.0,-0.1001344893053738,0.018522530004720778,-0.13371944329563898,-0.06947896801623916,0.3292593022491523,0.0917615420195558,0.18472453095308083,0.49215508414113496,103.0,103,103
SurfaceHoles,26,0,0.0,0.00953310914579563,0.06326253250725643,-0.11771137633965215,0.13952711245347546,0.6184752186234679,0.20913934346460392,0.16620182498972616,0.9971946117067119,103.0,103,103
TotalGrayVol,26,0,0.0,-0.13801946718276142,0.013234386758487404,-0.16049238922780573,-0.1102374351469122,0.17444244034948192,0.042814060712741416,0.11068887616775269,0.2749006210283134,103.0,103,103
WM-hypointensities,26,0,0.0,0.08839349671537791,0.08899101860855284,-0.09814610131655856,0.17182785129359732,0.3747999164596068,0.33886258977662304,0.08737428144387203,0.9917534630927765,103.0,103,103
lhCerebralWhiteMatterVol,26,0,0.0,-0.03252589367451398,0.0225753915396827,-0.08222532721689126,0.01716351208792449,0.7399845030080981,0.1421165306768907,0.41604954024363294,0.9572530082544245,103.0,103,103
lhCortexVol,26,0,0.0,-0.11350232915467477,0.02375301855139275,-0.163131211284055,-0.06008879936156665,0.2732912004127803,0.10954905717231549,0.10487071253920163,0.552598835129261,103.0,103,103
lhSurfaceHoles,25,0,0.0,-0.025741718167691136,0.08175527014650552,-0.18822970871222167,0.11228950738898234,0.5353406874531508,0.25770413009413096,0.06073320063803475,0.9241719908867441,103.0,103,103
rhCerebralWhiteMatterVol,26,0,0.0,0.016772960241122185,0.02943547606705013,-0.04639898309355467,0.0827204015327992,0.8025251108816371,0.15404051348573702,0.41323867277449633,0.9991875992345446,103.0,103,103
rhCortexVol,26,0,0.0,-0.13415627921861611,0.015717011319151795,-0.16869194841112434,-0.1094383107599532,0.18830440671250337,0.04977378934357357,0.09339448195788468,0.27841651000982,103.0,103,103
rhSurfaceHoles,26,0,0.0,0.025389227133917447,0.06132590881963367,-0.0447613384874766,0.14694400965418836,0.6306100347897758,0.23950290657441278,0.14459327997913182,0.936516472736807,103.0,103,103
