region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
superiorfrontal,lh,26,1,0.038461538461538464,-0.10144853911816974,0.046881163150363635,-0.21322214916768853,0.012618818798651631,0.3520322344102719,0.21261242284803233,0.033173843946102385,0.9008349745498556,103.0,103,103
inferiorparietal,rh,26,1,0.038461538461538464,-0.13898771659836345,0.04085577688820169,-0.19856234345328136,0.01491029534907858,0.19077908298811896,0.15942970798482567,0.04765571527951548,0.8829453290464473,103.0,103,103
bankssts,lh,26,1,0.038461538461538464,-0.069273435455639,0.06205656616488732,-0.2099768545132727,0.06893958786934151,0.4566574250870016,0.2303460581829346,0.0360107923963889,0.9527949372551774,103.0,103,103
pericalcarine,lh,26,1,0.038461538461538464,-0.010023886363721767,0.0798305234051408,-0.1258947668756977,0.20760497612802908,0.5542579072246473,0.23756501259244142,0.03821072273145053,0.9820152518380066,103.0,103,103
rostralmiddlefrontal,lh,26,1,0.038461538461538464,-0.1129744872538788,0.05138517637748402,-0.20880365755741861,-0.019626888975193033,0.31834824646486953,0.2350682985693842,0.03708527295636247,0.8463168590235742,103.0,103,103
caudalanteriorcingulate,rh,26,0,0.0,-0.0236710719456615,0.07344508978181515,-0.1413518124928119,0.1400000978640041,0.5754412804042125,0.27109801763849767,0.16067622006854113,0.9897668151232,103.0,103,103
WhiteSurfArea,lh,26,0,0.0,-0.09495417116679969,0.021322965059914885,-0.14611831716955506,-0.05645221013404886,0.357430015488785,0.10601485937410576,0.14688834164535325,0.5769332728881862,103.0,103,103
WhiteSurfArea,rh,26,0,0.0,-0.11601103424004465,0.02884782908937668,-0.17157165705753608,-0.052855954643951035,0.26842863877732304,0.12343001382501957,0.08785425022668766,0.6014757022673952,103.0,103,103
BrainSegVolNotVent,rh,26,0,0.0,-0.09395835120422111,0.01828950756524504,-0.12585575372101607,-0.055356326393012356,0.3598838548049469,0.09586273834356566,0.2121401266178275,0.584362712438488,103.0,103,103
BrainSegVolNotVent,lh,26,0,0.0,-0.09395835120422111,0.01828950756524504,-0.12585575372101607,-0.055356326393012356,0.3598838548049469,0.09586273834356566,0.2121401266178275,0.584362712438488,103.0,103,103
inferiortemporal,rh,26,0,0.0,0.0003812762785070874,0.05329453060814966,-0.09694202380856216,0.10829111643714306,0.6809737150000061,0.20067462536942862,0.2835162533264453,0.9540390166457564,103.0,103,103
insula,lh,26,0,0.0,-0.001935261986893394,0.07510610084016799,-0.1842861947512387,0.10518054420612946,0.576989400688143,0.24360290944293733,0.0664395464461253,0.9704761778119293,103.0,103,103
eTIV,rh,26,0,0.0,-0.05989302069864448,0.00029697050347747783,-0.06046119694851589,-0.059381769020435196,0.5538977923536079,0.001968191448522179,0.5501351884039245,0.5572909033202833,103.0,103,103
frontalpole,rh,26,0,0.0,0.0575509745711196,0.0695756255627953,-0.09346455442135397,0.17520291612853475,0.5008537184308968,0.2643215333509066,0.08124375991377619,0.9454427859206072,103.0,103,103
entorhinal,rh,26,0,0.0,0.017691430255575995,0.06939606550570011,-0.13459713283081176,0.12355947462241401,0.5969606488906953,0.254130579140354,0.18183270915681465,0.9659469985791477,103.0,103,103
fusiform,rh,26,0,0.0,-0.03222719399842599,0.05008241595904113,-0.11170305529780519,0.05618366584469772,0.622563668820683,0.18720247681466734,0.2685302305076064,0.9380625381157401,103.0,103,103
fusiform,lh,26,0,0.0,-0.00899673969079788,0.06148015634581069,-0.15534729374947262,0.12515994180952975,0.6568290217260832,0.2361107947371398,0.1227513817433643,0.9841542029511192,103.0,103,103
inferiorparietal,lh,26,0,0.0,-0.06918590276486868,0.0422953224515786,-0.15517065104571615,0.046655076502465184,0.4969986891916693,0.2053953981266288,0.12318278360615355,0.8585635312556635,103.0,103,103
entorhinal,lh,26,0,0.0,0.02815310677331437,0.07490510552055292,-0.10518923386826701,0.1952424144205916,0.5886826734136195,0.2782181541566659,0.05157610249705273,0.989461906808311,103.0,103,103
eTIV,lh,26,0,0.0,-0.05989302069864448,0.00029697050347747783,-0.06046119694851589,-0.059381769020435196,0.5538977923536079,0.001968191448522179,0.5501351884039245,0.5572909033202833,103.0,103,103
