region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
paracentral,lh,26,0,0.0,-0.013637048438800769,0.01421497289647652,-0.04289994931193892,0.017461979924513614,0.8614172826471973,0.079476790908987,0.6563171795976818,0.9709855697956847,112.0,112.0,112.0
paracentral,rh,26,0,0.0,-0.01665273511110574,0.010383433462417765,-0.044409822448479644,0.003548847413528296,0.8614678829820479,0.07979459648196043,0.6450276472135623,0.9706480237753858,112.0,112.0,112.0
parahippocampal,lh,26,0,0.0,0.013713534059247544,0.02112042590283912,-0.0243558010813735,0.053271649624437006,0.8290056588756414,0.10761854499352386,0.5804496924453697,0.977970600745057,112.0,112.0,112.0
parahippocampal,rh,26,0,0.0,0.04561861568910361,0.027979668626298037,-0.01389763554313872,0.10655418813027064,0.6401340911400244,0.18495182289495404,0.26788726793344164,0.9873431688136165,112.0,112.0,112.0
parsopercularis,lh,26,0,0.0,0.08257023597251076,0.012109795772563334,0.06516125504921197,0.11019900003495535,0.39470449797786306,0.0676001865911386,0.2517669129423707,0.49883159682443645,112.0,112.0,112.0
parsopercularis,rh,26,0,0.0,-0.006977895701190755,0.015607806772513751,-0.03349384956177441,0.022801815985925906,0.8827147844851748,0.07364461524852375,0.7283125926667782,0.9866531660230513,112.0,112.0,112.0
parsorbitalis,lh,26,0,0.0,0.0445622264236185,0.01877151008446646,0.00548853504237061,0.07847777187355624,0.6494924194000392,0.14044868078567696,0.4151082331519689,0.9546192150941117,112.0,112.0,112.0
parsorbitalis,rh,26,0,0.0,-0.09889461904128215,0.021308687729124157,-0.13690803056589274,-0.06221215215064941,0.3152008439592731,0.10326187348351946,0.15380320678764672,0.5185003910733085,112.0,112.0,112.0
lateralorbitofrontal,lh,26,0,0.0,0.05010611399982482,0.021087914367418286,0.007682800363134504,0.09168461259597312,0.6110547972619293,0.15261517053554316,0.340782706218676,0.936508805659934,112.0,112.0,112.0
frontalpole,rh,26,0,0.0,-0.06147033291415193,0.044321992143961,-0.13078049931477384,0.049229057431756554,0.5101999397432129,0.2176560474182232,0.17325303502260103,0.9315363849661553,112.0,112.0,112.0
parstriangularis,rh,26,0,0.0,0.04695107528042246,0.01763980855782495,0.016608544783727693,0.09425666982915193,0.6319584360537226,0.12396128397616109,0.32735172803205637,0.8632693902511436,112.0,112.0,112.0
