repetition,region,hemisphere,F,p_value,np2,sample_size,metric,test,analysis,study,timepoint_x,NPVR,num,anat,n,timepoint_y,NPVR_CI_low,NPVR_CI_high,significant,std_F,std_p,std_p_low,std_p_high,proba_significant,r,std_r
8,lhCortexVol,,,0.11097038081174163,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.010085948176059279,0.009678245871776039,0.010511078588656296,2.5232801752131498e-14,-0.1549707848046847,0.004388908458470023
9,lhCortexVol,,,0.16181532824244504,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.013557015904126063,0.013009003310085915,0.014128454470366775,2.829560666310101e-29,-0.13621432191606558,0.004401171483029605
10,lhCortexVol,,,0.15686915778763194,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.013237875193392232,0.012702763161687478,0.013795861735126926,8.22864254136578e-28,-0.13782371705060337,0.004400182487405977
11,lhCortexVol,,,0.14771176185360677,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012637132399018485,0.012126304075426479,0.013169797173520325,4.254261997720149e-25,-0.14090645821246015,0.004398255025437236
12,lhCortexVol,,,0.13424188733391076,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.011729091957378647,0.011254969174403804,0.012223482134304683,4.1320450420544335e-21,-0.1457142940747184,0.004395162096713423
13,lhCortexVol,,,0.13666400212415122,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.011894589121804853,0.011413776479422533,0.012395955130508722,7.952912761239651e-22,-0.14482357994574965,0.0043957430989732755
14,lhCortexVol,,,0.15271036868373994,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012966663965218646,0.012442515051779393,0.013513218746714075,1.40377145464296e-26,-0.13920651856486022,0.00439932327792603
15,lhCortexVol,,,0.13672587265937453,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.011898803608922258,0.011417820605154064,0.012400347261474362,7.624906359366652e-22,-0.1448009854409179,0.004395757789775807
16,lhCortexVol,,,0.14383947724674553,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012379130582266726,0.011878731415493969,0.012900920383301342,5.976279642326166e-24,-0.1422533855682698,0.004397399214147819
17,lhCortexVol,,,0.1402163272208611,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012135530189988348,0.011644978034078877,0.012647052048587574,7.072092794885555e-23,-0.14353870287470877,0.0043965747994956506
18,lhCortexVol,,,0.14674062075114117,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012572652915504034,0.012064431033423419,0.013102599830568959,8.25411899876669e-25,-0.14124173210850985,0.004398042775579116
19,lhCortexVol,,,0.1103973606609187,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.010044209875029695,0.009638194749900023,0.010467580986386208,3.678366640694059e-14,-0.15521695951125256,0.004388736762396844
20,lhCortexVol,,,0.13770988699856496,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.011965746194018268,0.011482057183266704,0.012470111527618639,3.9016439699753556e-22,-0.14444267387780735,0.004395990448718536
21,lhCortexVol,,,0.12595926423367673,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.011155524137561856,0.010704586574034905,0.011625737993170883,1.1332067497626386e-18,-0.1488560416843581,0.004393083700079325
22,lhCortexVol,,,0.12749547288449312,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.011262814048733916,0.010807539526177665,0.011737550255975913,4.012533724242005e-19,-0.14826162322447664,0.004393480409032195
23,lhCortexVol,,,0.14920085510283407,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012735710979472037,0.012220897833263225,0.013272530916369112,1.5397276761992876e-25,-0.14039557787686607,0.004398577455897186
24,lhCortexVol,,,0.1545742738273982,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.013088545019725737,0.012559469332332898,0.01364023718068077,3.935805178087497e-27,-0.13858332589840341,0.004399711583820082
25,lhCortexVol,,,0.14245116621545995,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012286041650897507,0.011789405399733676,0.012803907682435157,1.540744907058361e-23,-0.1427429629276999,0.00439708608714842
26,lhCortexVol,,,0.14060611132716555,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0461686354636588,945.4678785560412,20478.575315492188,89,pd,0.0443023697704812,0.0481146786815187,False,,0.012161840341798059,0.011670224655783969,0.012674471193374354,5.421851221562364e-23,-0.14339922738498975,0.004396664626575216
1,rhCortexVol,,,0.10911219726472327,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.008504142132260988,0.008160380863339848,0.008862598212974705,2.97223575021054e-18,-0.15577271707751836,0.003750529801011226
2,rhCortexVol,,,0.09372810267169959,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007521471804702454,0.0072174328256347725,0.007838507581195945,1.900598133462193e-12,-0.16285922076684906,0.0037461876632438555
3,rhCortexVol,,,0.08327854975062084,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006828521318527786,0.006552493341007605,0.007116348703211768,8.714220917299983e-09,-0.16821650764444446,0.0037427733442296145
4,rhCortexVol,,,0.07996452747004573,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006604086259667935,0.006337130576498453,0.006882453535345922,1.0700086985006977e-07,-0.17002739592035623,0.0037415935127284054
5,rhCortexVol,,,0.08342377915935598,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006838303626015701,0.0065618802201992,0.007126543342425554,7.79079233969882e-09,-0.16813847622404482,0.00374282389110836
6,rhCortexVol,,,0.08540395523129633,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.0069712466745103,0.006689449337927593,0.0072650900418681705,1.6642061728845e-09,-0.16708519773541136,0.0037435038184124407
7,rhCortexVol,,,0.08751800044646736,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007112290253686397,0.006824791540175048,0.0074120787155423345,3.1033270486639726e-10,-0.16598197396626505,0.0037442112745976835
8,rhCortexVol,,,0.08195826578596827,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006739387122261483,0.00646696219886907,0.007023457432551096,2.39360372750352e-08,-0.1689309246280974,0.0037423094398863596
9,rhCortexVol,,,0.08075932593357416,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006658125472683305,0.006388985373008459,0.006938770542429298,5.91531758865109e-08,-0.16958769661089887,0.0037418811816140284
10,rhCortexVol,,,0.09161888986882524,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007383341346466369,0.007084885987811117,0.007694554818732527,1.0995698907469487e-11,-0.1639009385453768,0.0037455326485546503
11,rhCortexVol,,,0.0908792492567852,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007334699078403407,0.007038209976606574,0.007643862241949921,2.023334465756796e-11,-0.16427073701640496,0.003745299093331978
12,rhCortexVol,,,0.08173831528062427,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006724502227331089,0.006452678993126067,0.007007945127940148,2.8284084217938067e-08,-0.16905083401780382,0.003742231378778159
13,rhCortexVol,,,0.09677271797044275,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007719367075689677,0.007407328614909432,0.008044744288876794,1.4504707422791167e-13,-0.16138771745803365,0.003747105610686255
14,rhCortexVol,,,0.07865752260212709,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006514924721036081,0.006251573197249446,0.006789533769818126,2.799594021328272e-07,-0.17075813145417484,0.0037411137394735834
15,rhCortexVol,,,0.08794013836613727,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007140345946061796,0.006851713142802013,0.007441316976761737,2.211059900504162e-10,-0.16576422408468489,0.003744350339935191
16,rhCortexVol,,,0.07734298636523954,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006424872822775616,0.006165161449204407,0.006695686115323904,7.241523374572309e-07,-0.17150296695291797,0.0037406225275149435
17,rhCortexVol,,,0.0953627149987705,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.00762793627549148,0.007319593704009155,0.007949459610675873,4.801091311817416e-13,-0.16206457785019426,0.0037466844369931293
18,rhCortexVol,,,0.07264353624370404,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006099772711641606,0.005853202796078945,0.00635688278640916,1.852129932636863e-05,-0.17425185305571772,0.0037387905890274935
19,rhCortexVol,,,0.08393761524463764,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.006872879088785532,0.006595058045821104,0.007162576187337002,5.234577253249587e-09,-0.16786326088399628,0.003743001976320923
20,rhCortexVol,,,0.0914683087720277,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007373447056699131,0.007075391652977904,0.007684243477100884,1.2452306695755279e-11,-0.16397603238523775,0.0037454852649811544
21,rhCortexVol,,,0.09394540224645102,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007535654059901495,0.007231041794314425,0.00785328762927465,1.5840989079805427e-12,-0.1627529557808325,0.0037462542397288805
22,rhCortexVol,,,0.10936077049935318,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.008519677233302162,0.008175287992039584,0.008878788130380198,2.379906900738008e-18,-0.15566482745862217,0.0037505943779851648
23,rhCortexVol,,,0.09458315086760927,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007577225415566344,0.00727093271922543,0.00789661124930548,9.268763982199315e-13,-0.16244219819405997,0.0037464486775348085
24,rhCortexVol,,,0.09310391447457594,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.007480683408498971,0.007178293210768442,0.007795999922965286,3.202931147481016e-12,-0.16316555175422787,0.0037459954928123515
25,rhCortexVol,,,0.07907446353988178,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.00654340800997658,0.006278905111789452,0.006819217651124165,2.0635661812816026e-07,-0.17052397292472815,0.0037412677098151194
26,rhCortexVol,,,0.08498491770453241,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0394583197335366,803.683207807037,20367.902466053736,89,pd,0.0378633038165707,0.0411215180224711,False,,0.0069431813148866815,0.006662518458829687,0.007235841705918657,2.312824017527971e-09,-0.16730645174966258,0.003743361356099862
1,CortexVol,,,0.1306995851489672,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.007777945123492596,0.007463538773778892,0.008105791446097785,1.30119463486883e-41,-0.147039277531456,0.0029758647105915005
2,CortexVol,,,0.11321774920006135,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006940757810198261,0.006660192918995811,0.007233316048658158,1.4884402018728118e-30,-0.1540147340153639,0.002972669303849747
3,CortexVol,,,0.10497408021757205,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006532342307566303,0.006268286716096652,0.006807685520912637,1.7763460597254302e-25,-0.15759761947455087,0.002970969048074599
4,CortexVol,,,0.11948813101524952,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.00724542003339356,0.006952539840916849,0.007550820017060636,1.7432072710302343e-34,-0.15142293278187935,0.0029738742807558093
5,CortexVol,,,0.10675404525589767,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.0066213064103993104,0.006353654640455374,0.006900399528571995,1.4590851594367962e-26,-0.15680589411597454,0.002971348210380171
6,CortexVol,,,0.10168258459513987,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006366668551589336,0.00610930995785277,0.006635028489689207,1.7305559610340806e-23,-0.15908978325315992,0.0029702491171556137
7,CortexVol,,,0.11895940996456152,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.0072199245481033,0.006928074954626326,0.007524249877608802,3.755629099046419e-34,-0.15163735597831177,0.002973775385726567
8,CortexVol,,,0.09454745691627711,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.0060021902876328396,0.005759564927250469,0.006255187188759521,2.81507728732412e-19,-0.1624595470831407,0.0029685976726042357
