region,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
Right-Accumbens-area,26,26,1.0,10.051330635146478,1.6986622990249185,6.876389391505923,13.133473659589123,0.002542470004807162,0.0022766559339050165,0.0003691598373507404,0.009416821474986377,201.0,201.0,201.0
Right-Pallidum,26,26,1.0,17.27179583760645,2.0984709759668454,12.628412192517272,20.758320204386692,8.12305630194205e-05,0.00010057876595573165,9.125496559617502e-06,0.00047552141880715965,201.0,201.0,201.0
Right-Thalamus,26,26,1.0,8.07643126302466,1.1403648181259238,5.634269186564204,10.796681400489307,0.005878089189675117,0.003596163151999754,0.0012036838885504312,0.018574333133756806,201.0,201.0,201.0
Right-VentralDC,26,26,1.0,12.850358083311445,1.4147142520210365,10.793192439895552,16.26202003784235,0.0005202000791177952,0.0002882769045991395,7.882512110864699e-05,0.0012058353829114154,201.0,201.0,201.0
TotalGrayVol,26,26,1.0,12.271553142707164,0.2316017175925668,11.88645817340832,12.78459011898283,0.0005728623348379728,6.615983137203731e-05,0.00043965712752236716,0.0006912795506996924,201.0,201.0,201.0
lhCortexVol,26,26,1.0,7.8290965057530615,0.3174019299320834,7.337767891581343,8.337217759089093,0.005731959065007661,0.0009679715889973564,0.0043180146993830396,0.007346615697765481,201.0,201.0,201.0
lhCerebralWhiteMatterVol,26,26,1.0,9.09980191168442,0.3622504727453585,8.479377902526021,10.16982646892321,0.0029434272114663264,0.0005390331458046199,0.0016608965051036568,0.004006219523616908,201.0,201.0,201.0
rhCortexVol,26,26,1.0,7.845712561895084,0.22598044896367084,7.400666145348626,8.185553538915851,0.00564239004282765,0.0006845184468280779,0.004678245054715071,0.007103208578498445,201.0,201.0,201.0
rhCerebralWhiteMatterVol,26,26,1.0,9.176511812028942,0.40171085300322706,8.565587497282824,9.906718698996768,0.0028397030826978345,0.000581462345753979,0.0019025342956837611,0.003828492300062182,201.0,201.0,201.0
Right-Hippocampus,26,26,1.0,10.176765570888588,0.9252721834416952,8.173004186753108,11.921353532768274,0.0018604826985666018,0.0009795331614868212,0.0006791809593549053,0.004709402624999212,201.0,201.0,201.0
WM-hypointensities,26,25,0.9615384615384616,4.94482870372101,0.5705042214469758,3.7522838070712945,6.263422878380397,0.028757061972976054,0.009411648717840088,0.013138789737626529,0.05416558114530345,201.0,201.0,201.0
CC_Mid_Anterior,26,24,0.9230769230769231,5.8180568801016275,1.22763349685142,3.681142890633808,8.414728377886588,0.02091826707250483,0.01389151260018677,0.004145041806898173,0.05647671295472445,201.0,201.0,201.0
Left-Hippocampus,26,16,0.6153846153846154,4.1751321902228105,0.8838172840284682,2.142662866548367,6.145767571456828,0.04833021683197942,0.02639913018872441,0.014012637482306339,0.1448468511117863,201.0,201.0,201.0
Left-Accumbens-area,26,13,0.5,3.7002028178213786,1.0315063858591673,2.112417330598507,6.211139890797852,0.06618608918975936,0.03582178713488503,0.01351990856957133,0.14769949084542305,201.0,201.0,201.0
CC_Posterior,26,6,0.23076923076923078,2.7779986617073567,1.0822040284364878,1.3986008610263125,4.703587476657385,0.11936442840357042,0.06576012910188717,0.03129778045245773,0.2383833273471983,201.0,201.0,201.0
Right-Inf-Lat-Vent,26,3,0.11538461538461539,3.176971520530997,0.45531007504564436,2.202116423154667,4.0343805505727275,0.07922257605335484,0.02157132565865357,0.04594745683866701,0.1394195889767468,201.0,201.0,201.0
Right-Putamen,26,2,0.07692307692307693,2.8339646690712965,0.7313114511229672,1.5614395201513316,4.374066484414088,0.1044845945189447,0.04776122551960675,0.03777182523778726,0.21293711485246966,201.0,201.0,201.0
Left-Amygdala,26,2,0.07692307692307693,2.7635327211486254,0.8275661844926426,1.5188459309038354,5.120508772896534,0.11093331728374738,0.05094708021380917,0.024735538358675903,0.2192630347366131,201.0,201.0,201.0
lhSurfaceHoles,26,1,0.038461538461538464,1.6069146890296038,1.153017995080646,3.116156408577081e-05,4.930669186109863,0.29641543758268313,0.23390811783762172,0.027523700178149518,0.9955516772948128,201.0,201.0,201.0
Optic-Chiasm,26,1,0.038461538461538464,1.4794581470787913,1.5182625950047952,0.09418199871642212,7.786906443242495,0.31962233916499866,0.1908323730671769,0.005779971809244437,0.7592505917325679,201.0,201.0,201.0
non-WM-hypointensities,26,1,0.038461538461538464,0.9499111465961314,1.2295765186899337,0.00011108973505213226,4.122824002199297,0.5102892646113945,0.29949631387147685,0.04365255803664438,0.9916011889202733,201.0,201.0,201.0
5th-Ventricle,26,0,0.0,0.845786889936243,0.721060367983229,0.013222927987660999,2.8304261824693233,0.4487783168429489,0.23714165042435675,0.09407811058768545,0.9085693830013656,201.0,201.0,201.0
4th-Ventricle,26,0,0.0,0.21734449847997825,0.06126808589291991,0.14025731552333326,0.37216911387939433,0.6452061420187789,0.0448182355782393,0.54252734673202,0.7084281613340586,201.0,201.0,201.0
3rd-Ventricle,26,0,0.0,0.21085610336037788,0.04007780739513746,0.14219539498996392,0.28615218891780575,0.6483499795512048,0.03140836559296332,0.5933001883535242,0.7065140644658279,201.0,201.0,201.0
Left-Inf-Lat-Vent,26,0,0.0,2.0468755076318645,0.2970547988085135,1.6147818247309969,2.6371122914980885,0.15720228460058372,0.029347473230428026,0.10599210821014443,0.20531948338427441,201.0,201.0,201.0
CC_Mid_Posterior,26,0,0.0,1.2586977082527255,0.41855928889521515,0.6549950067922558,2.098070493544455,0.27706072491046296,0.07706767044619375,0.1490749116248735,0.4193088795911314,201.0,201.0,201.0
CC_Central,26,0,0.0,2.0523036190304866,0.6019246161590847,1.0147651013434398,3.4570618503222055,0.1665930296080359,0.06300469637953784,0.06447329967252174,0.3149996681170248,201.0,201.0,201.0
CC_Anterior,26,0,0.0,0.15426115639262392,0.12497548303271942,0.0036829849707992776,0.48301224603435644,0.7228676983198729,0.11841233033070139,0.48787996140856804,0.9516695283812551,201.0,201.0,201.0
BrainSegVol-to-eTIV,26,0,0.0,1.5849400506270908,0.12588103521525307,1.365496411530668,1.7998784769313096,0.21042457578626636,0.017955471148520846,0.18127162766736102,0.2439993035486516,201.0,201.0,201.0
CSF,26,0,0.0,0.11332958119519368,0.09693490680683112,0.0023265563318895324,0.4015369187628461,0.7622134153775808,0.1071163490336919,0.5270316111160871,0.9615783080834419,201.0,201.0,201.0
Left-Caudate,26,0,0.0,0.14897032769314505,0.05721441753874246,0.06268730426868314,0.2913695444975702,0.7057826165162184,0.05467636743106469,0.5899538500973347,0.8025587998990039,201.0,201.0,201.0
Left-Lateral-Ventricle,26,0,0.0,1.046063818710548,0.021511844372102597,1.0124212421248524,1.0910990915289616,0.3077195858143384,0.0049352692972163045,0.2975078563017467,0.31555776513250783,201.0,201.0,201.0
Left-Putamen,26,0,0.0,2.4012373968113674,0.43527509982390533,1.8033344342818418,3.5838505801397975,0.12747747545029653,0.031422155962263755,0.05980974787868002,0.1808550606908057,201.0,201.0,201.0
MaskVol-to-eTIV,26,0,0.0,0.6390407522032866,0.06594069092127507,0.49900895806066276,0.7858821295659759,0.42599550318460183,0.02394211342619263,0.37642909774738764,0.48077052723204017,201.0,201.0,201.0
Left-vessel,26,0,0.0,0.6694141496247966,0.3349149442971061,0.18215983260685803,1.2232028869671772,0.43972084992873256,0.12456175836661676,0.27008178723739223,0.669989704086644,201.0,201.0,201.0
Left-choroid-plexus,26,0,0.0,0.031938959295977405,0.03378005668803393,1.2963985732477015e-05,0.11518187002737133,0.8792587269947365,0.07397284773076974,0.7346815826542622,0.9971308235485996,201.0,201.0,201.0
Left-non-WM-hypointensities,0,0,0.0,,,,,,,,,201.0,201.0,201.0
