region,hemisphere,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parstriangularis,lh,26,0,0.0,0.6027336055880561,0.8460718573958651,8.584898317113737e-10,2.7184192840388075,0.6123062839958424,0.30278330177904716,0.1008751769555337,0.9999766534274618,192.0,192.0,192.0
parsorbitalis,rh,26,0,0.0,0.9410196167947666,1.060153588914812,0.0001772871258767971,3.4112642461247114,0.49286309730539535,0.2986782407202324,0.06633292343381006,0.9893907384693366,192.0,192.0,192.0
parsorbitalis,lh,26,0,0.0,0.6179892624509021,0.7456235977096333,0.0004693869503563,2.861363130183672,0.5687751552622919,0.27966399952525756,0.09239634501508888,0.9827380121572069,192.0,192.0,192.0
lingual,rh,26,0,0.0,0.46395066177561295,0.5054245526333269,0.0008026499910564851,1.9895342636790092,0.5880653754534293,0.22895584154530485,0.16005086541610214,0.9774283059977575,192.0,192.0,192.0
postcentral,rh,26,0,0.0,0.17934627226156344,0.22850037765135783,1.2701001328191293e-05,0.8124465394773909,0.7447881184559346,0.18652289229532426,0.36855733995949924,0.9971602669665826,192.0,192.0,192.0
posteriorcingulate,rh,26,0,0.0,0.7852258567411674,0.8318616860721633,1.6769196963687408e-07,2.693379969929738,0.5103564296495917,0.2831033640109867,0.10244667710321703,0.9996737011126127,192.0,192.0,192.0
postcentral,lh,26,0,0.0,0.3120452326627869,0.3581534175127651,0.0013153104380024172,1.3510924545603833,0.6530148279516587,0.20248121397384758,0.24656851639990202,0.9711079815098829,192.0,192.0,192.0
pericalcarine,lh,26,0,0.0,0.506674024386728,0.6022555023860997,0.001843640530383708,2.712378826569946,0.5796345520885098,0.23839588440017895,0.10125183822090042,0.9657970601703438,192.0,192.0,192.0
precentral,rh,26,0,0.0,0.39482063545966134,0.4278894880278248,0.0036390513428085614,1.5403036946210338,0.6152333474374273,0.22123470211478882,0.2161272509680342,0.9519615703183454,192.0,192.0,192.0
precuneus,lh,26,0,0.0,0.2989497592994215,0.28200098213319325,0.005175084369033233,1.2691496340660744,0.636422421886295,0.1707157937180821,0.26136986920118976,0.9427280830841567,192.0,192.0,192.0
