region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
fusiform,lh,26,4,0.15384615384615385,3.260829344980278,0.6273919512186149,1.980367532432625,4.530779121637255,0.07788717924566486,0.0289076694233818,0.03453276949903087,0.1609274828656081,201.0,201.0,201.0
caudalmiddlefrontal,lh,26,3,0.11538461538461539,3.263324135549794,0.5003438252062105,2.489780374548737,4.27800081125431,0.07566348640219701,0.02133241586509774,0.03991477137784405,0.11619210463962189,201.0,201.0,201.0
frontalpole,lh,26,1,0.038461538461538464,2.0686696739591217,0.8410484236759606,0.6774987676285412,3.948505069303621,0.17700756490234207,0.09089401707047239,0.048298690526225936,0.41144460971171337,201.0,201.0,201.0
rostralanteriorcingulate,lh,26,1,0.038461538461538464,2.7499718525812495,0.5760290737734323,1.2766979680822588,4.004626354849327,0.10618887994311024,0.042730050287498864,0.04674803285348535,0.259887761535183,201.0,201.0,201.0
lateralorbitofrontal,lh,26,1,0.038461538461538464,2.3470709159361176,0.690265154145351,1.3398261971072265,4.067425957792738,0.13950411984306216,0.05416191193262987,0.045075365826478885,0.2484661130081333,201.0,201.0,201.0
caudalmiddlefrontal,rh,26,0,0.0,0.6710695756588608,0.19286056558486767,0.3373512555166498,1.0625677469939427,0.42154783548575375,0.06806883644265624,0.30389414601660064,0.5620259905386484,201.0,201.0,201.0
caudalanteriorcingulate,lh,26,0,0.0,2.286831546045183,0.3630335520857117,1.580357184685429,3.0440707572247034,0.1358545847148031,0.030582988430483547,0.08259194458530732,0.2101976231392469,201.0,201.0,201.0
bankssts,lh,26,0,0.0,1.939296121669364,0.3999963892294835,1.278993387611828,2.7139024377918006,0.17194434785718554,0.04653137711359034,0.10107148255225744,0.25946118856763467,201.0,201.0,201.0
cuneus,rh,26,0,0.0,1.290683975050486,0.2989625219181589,0.8044391248349438,1.8106478111409094,0.26431890359840615,0.055297557527063744,0.17997720646347476,0.37086419049326114,201.0,201.0,201.0
entorhinal,rh,26,0,0.0,0.07674333318534857,0.0914706830222906,5.121401969499458e-07,0.32091313033071445,0.822445813390218,0.12236721700371928,0.5717042128339263,0.9994297263342541,201.0,201.0,201.0
entorhinal,lh,26,0,0.0,0.26166459771478007,0.3030361978306195,0.0010050069144036612,1.3145941029180552,0.6720777321420466,0.17993190886940294,0.2529552508363773,0.9747419194151188,201.0,201.0,201.0
cuneus,lh,26,0,0.0,2.017126077980052,0.41591331163543055,1.0298492679628972,2.954952319030162,0.16398413936415726,0.048120071580618394,0.08718566254340758,0.31143881189229145,201.0,201.0,201.0
isthmuscingulate,lh,26,0,0.0,1.2786516590436408,0.30194254432336926,0.7840870323197864,1.9446399828966017,0.26646003782187233,0.053813895301914924,0.16473618425724626,0.37697364353420415,201.0,201.0,201.0
lateraloccipital,lh,26,0,0.0,2.903263781873044,0.3004214136893356,2.434339216694977,3.8171675043398015,0.09152124040181474,0.01611061103636349,0.05214568124098766,0.1203089124589468,201.0,201.0,201.0
lateraloccipital,rh,26,0,0.0,2.7415212641841658,0.42208145021000276,2.0172962191032284,3.622362922937084,0.10292537898185292,0.026262296194591674,0.058465867190077035,0.15709653878357335,201.0,201.0,201.0
inferiortemporal,rh,26,0,0.0,1.0098019975098311,0.37082822502002355,0.39015203652864194,1.8390828211295474,0.332598529525101,0.0932220116887965,0.1766108100539977,0.5329422413767023,201.0,201.0,201.0
fusiform,rh,26,0,0.0,1.5193824547235968,0.47379876626655293,0.6704625531226758,2.6505199217161888,0.23256503391773023,0.07275552608371051,0.10511425259448362,0.41387979359160176,201.0,201.0,201.0
