region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
lateralorbitofrontal,rh,26,0,0.0,0.2807891096539855,0.30605241581597753,0.01592992879527464,1.226534988893432,0.6570974973474346,0.1789870996911347,0.26943235592448267,0.899691390383594,201.0,201.0,201.0
lateraloccipital,rh,26,0,0.0,0.12402212891662873,0.07998537703166445,0.020384748894894035,0.27461390348060755,0.7412573773971739,0.08795234278167897,0.6008424621132656,0.8866136710200483,201.0,201.0,201.0
lateraloccipital,lh,26,0,0.0,1.6447721021432573,0.2843566985383839,1.231795538458714,2.399017313858757,0.20518554838236566,0.03643855456226498,0.12301646472813345,0.26841105385080133,201.0,201.0,201.0
isthmuscingulate,rh,26,0,0.0,0.10881156736564171,0.13482298150308222,0.00029962884178243393,0.5196098325563827,0.7884721801179944,0.13918627084800209,0.47186268789380825,0.9862069935598031,201.0,201.0,201.0
isthmuscingulate,lh,26,0,0.0,0.07932927307308904,0.09662428518093562,0.00035099178301183206,0.42198148388145357,0.823298557887299,0.12939896970124787,0.5167066768324637,0.9850716479114051,201.0,201.0,201.0
medialorbitofrontal,rh,26,0,0.0,1.6746955092377258,0.7120212583759571,0.27437066530504317,3.06717246108493,0.22742252945061733,0.1202601092113502,0.0814446126786518,0.601003622946249,201.0,201.0,201.0
lingual,lh,26,0,0.0,0.09188121129153691,0.1022390795009522,0.004295291389161249,0.4263834132888613,0.7933677606077887,0.11157925797960731,0.5145302225997805,0.9478117355225525,201.0,201.0,201.0
lingual,rh,26,0,0.0,0.0917784199482258,0.1321121450571261,3.545105099291163e-06,0.5398542052114007,0.8139673725277088,0.1397063752096507,0.4633668683884188,0.9984996132229356,201.0,201.0,201.0
middletemporal,lh,26,0,0.0,0.5669292237587644,0.22234349717000196,0.04613790012302746,1.1551758616282048,0.46841154063358303,0.10460078272638304,0.2837828998268296,0.8301475125813498,201.0,201.0,201.0
middletemporal,rh,26,0,0.0,0.1346105045942821,0.11466354294653319,0.012154100014624475,0.479852275387362,0.7387492185849537,0.10762478815906752,0.4893050144530261,0.9123267998553721,201.0,201.0,201.0
medialorbitofrontal,lh,26,0,0.0,0.10667396565839068,0.13099379789733803,5.660558644955617e-05,0.4903259704845696,0.7961357396101333,0.14675331412451817,0.4846080568145208,0.9940046511585593,201.0,201.0,201.0
parahippocampal,lh,26,0,0.0,0.8743452115231027,0.3369553763898373,0.3973080318358949,1.9212189945502334,0.36586469936094246,0.08740122623243178,0.1672892290484866,0.5292132620325241,201.0,201.0,201.0
parsopercularis,rh,26,0,0.0,1.120856605862339,0.2950989214785755,0.580852903067271,1.7155848081750786,0.29983963046532186,0.06617505396672481,0.19178772848880898,0.44688971215045525,201.0,201.0,201.0
parsopercularis,lh,26,0,0.0,0.0760368277022351,0.08141321534774976,3.1247057256629378e-06,0.25159599210817873,0.823617342647795,0.12363598724495119,0.6165136100010931,0.9985913819040861,201.0,201.0,201.0
fusiform,lh,26,0,0.0,1.5414446255884522,0.5636298747761633,0.3821928416294115,2.5556423311116037,0.23778427010485467,0.10401586164578,0.11150376646106383,0.5371460751425923,201.0,201.0,201.0
fusiform,rh,26,0,0.0,1.3167154872660627,0.4659485754935879,0.6939973093620377,2.712593155898337,0.26727709526196397,0.07550016508489923,0.10115323922539182,0.4058169138716866,201.0,201.0,201.0
parstriangularis,rh,26,0,0.0,0.4053799987807044,0.3007819670698169,0.03509437500505961,1.1208073326505263,0.5661297593006738,0.15812304758507603,0.29104105085704884,0.8515908398795529,201.0,201.0,201.0
parstriangularis,lh,26,0,0.0,1.417256454934248,0.3877413004169838,0.8002882195166043,2.3062235241082507,0.2454049199474368,0.06446583116577402,0.1304599821462303,0.3720988776727716,201.0,201.0,201.0
pericalcarine,lh,26,0,0.0,1.2622907491318278,0.5008946670601707,0.38835355562099366,2.447376046816858,0.28286858483486427,0.0970639886285459,0.11932644378525306,0.5338869086328255,201.0,201.0,201.0
pericalcarine,rh,26,0,0.0,0.0756324124307724,0.11891865614374762,0.0004608271093650961,0.5630501339583496,0.8314247911252495,0.12848020369340274,0.4539291702975615,0.98289494738026,201.0,201.0,201.0
postcentral,rh,26,0,0.0,2.4040638333437254,0.4891376367965838,1.6636442443158725,3.335589356180657,0.12877909386578468,0.03777714652697821,0.06930973040148887,0.19862410666497304,201.0,201.0,201.0
postcentral,lh,26,0,0.0,0.7937889271549654,0.31993601609060657,0.23303634636413154,1.5794778117551136,0.3917125713217471,0.10167370825317429,0.21032403096353233,0.629817501515452,201.0,201.0,201.0
posteriorcingulate,rh,26,0,0.0,0.10853139384320457,0.12880141051915261,0.0011271114638041182,0.44069148839994765,0.7857614204043846,0.1351584095315623,0.5075650566322201,0.9732520580880312,201.0,201.0,201.0
posteriorcingulate,lh,26,0,0.0,0.04993320625197801,0.0637111533492685,5.483695580510605e-06,0.2688903625808339,0.8602422361050521,0.10632774442214815,0.604659052997276,0.9981339417374847,201.0,201.0,201.0
precuneus,lh,26,0,0.0,1.2424349843099383,0.25611041456086403,0.8278485301408515,1.6273725684601978,0.2720248679538754,0.051239442069223436,0.2035689946407896,0.36400724523447947,201.0,201.0,201.0
precuneus,rh,26,0,0.0,1.0109370113322411,0.26915856138193545,0.5372980575560892,1.5627895293168053,0.32428665748094254,0.06530570551618924,0.2127402114972115,0.4644259713223685,201.0,201.0,201.0
rejected_images,lh,0,0,0.0,,,,,,,,,201.0,201.0,201.0
