region,hemisphere,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
caudalanteriorcingulate,lh,26,0,0.0,0.4473410852144353,0.5219519338155496,0.0007432722374344564,2.356006891184661,0.5886290898656057,0.21363197698203568,0.12649145285753008,0.9782790244076027,192.0,192.0,192.0
caudalanteriorcingulate,rh,26,0,0.0,0.5091681234396807,0.5006541129934168,0.0009511792837345724,1.8430736103352734,0.555999343620033,0.21686022647142517,0.17622716294110527,0.9754290789863822,192.0,192.0,192.0
BrainSegVolNotVent,lh,26,0,0.0,0.9290183023909427,0.38681182861944535,0.20978846963989695,2.0467307389266742,0.35621457132281287,0.10513277616594185,0.15420230210354927,0.6474650343331224,192.0,192.0,192.0
BrainSegVolNotVent,rh,26,0,0.0,0.9290183023909427,0.38681182861944535,0.20978846963989695,2.0467307389266742,0.35621457132281287,0.10513277616594185,0.15420230210354927,0.6474650343331224,192.0,192.0,192.0
entorhinal,rh,26,0,0.0,0.4542958218565068,0.48257023221460515,6.805524673284147e-06,1.6818108378144023,0.6135509021966652,0.26550466045649324,0.19628188225660992,0.9979213098050127,192.0,192.0,192.0
entorhinal,lh,26,0,0.0,1.079917764611206,0.838133892995594,0.01801669695906843,3.3716725947759603,0.3832196307156679,0.2253581389476963,0.06791417047824852,0.8933679894829083,192.0,192.0,192.0
eTIV,rh,26,0,0.0,2.2198934277065345,0.012948652742146207,2.1952425805139812,2.237147695873618,0.13793231876247294,0.0011446049162717445,0.1364150357667991,0.1401205008836797,192.0,192.0,192.0
eTIV,lh,26,0,0.0,2.2198934277065345,0.012948652742146207,2.1952425805139812,2.237147695873618,0.13793231876247294,0.0011446049162717445,0.1364150357667991,0.1401205008836797,192.0,192.0,192.0
dx_group,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
dx_group,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
cuneus,rh,26,0,0.0,0.4932264643536117,0.545506415129109,0.0015734346415045362,2.4421559414755953,0.5862160468465307,0.24848913911304488,0.11980451063772034,0.9684012920639543,192.0,192.0,192.0
cuneus,lh,26,0,0.0,0.9445533652974494,0.6277007513656463,0.04100745532478744,2.5135203392661434,0.391809355367513,0.19140390441262964,0.11456311822041425,0.8397436817144792,192.0,192.0,192.0
caudalmiddlefrontal,rh,26,0,0.0,0.12159665545222684,0.13565897268827024,3.6764312445839703e-06,0.564329031652679,0.7769030134717249,0.14801569646219856,0.4534655805958441,0.9984721792153175,192.0,192.0,192.0
