region,hemisphere,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
inferiortemporal,rh,26,0,0.0,0.4233688582368982,0.46910922874994593,3.5921354015478394e-05,1.764507815336347,0.6199613813999286,0.2492000941417171,0.18568210287625336,0.9952243422862104,192.0,192.0,192.0
frontalpole,rh,26,0,0.0,0.5124405927148357,0.5405257566609456,0.0006296799013201053,1.9938820580596124,0.5784146002111391,0.25074227426500295,0.1595974687453965,0.9800072031617098,192.0,192.0,192.0
postcentral,rh,26,0,0.0,0.27613141166634425,0.31101047739504073,1.2159054964887706e-05,1.0512075053629386,0.6793722851631302,0.20945146151849048,0.3065535984443553,0.9972215122743361,192.0,192.0,192.0
postcentral,lh,26,0,0.0,0.37725182518812256,0.4231209810899805,0.0003823675398046069,1.4992780769013077,0.6401418375106134,0.24236341510982373,0.22232277410890974,0.9844198318299938,192.0,192.0,192.0
precentral,lh,26,0,0.0,0.6920839784245136,0.5529134725543189,0.049632287261480064,1.8599102304615693,0.4646621493666994,0.17981978038363308,0.17427453825556175,0.823947512516453,192.0,192.0,192.0
precentral,rh,26,0,0.0,0.17224591966082323,0.20818223945054565,0.0006224015198750613,0.7295616965381126,0.7481300191172653,0.18368341995416443,0.3941181624119998,0.9801230617282555,192.0,192.0,192.0
rostralmiddlefrontal,rh,26,0,0.0,0.21062889134669105,0.27782252104013755,0.0031694715999838704,1.3425152270717513,0.713576288611316,0.1796576716303231,0.24806841070651997,0.9551644709905664,192.0,192.0,192.0
rostralmiddlefrontal,lh,26,0,0.0,0.6006283599595091,0.6847272207526266,0.00010223323637347999,3.055127754913242,0.5447068076329568,0.242793000489076,0.08212394690072368,0.9919434691967618,192.0,192.0,192.0
rostralanteriorcingulate,rh,26,0,0.0,0.5950626728917532,0.8423206157295665,1.2115576235395708e-08,3.6971629813768314,0.5831904353114472,0.26920763241437673,0.05602446988378178,0.9999122935605375,192.0,192.0,192.0
rostralanteriorcingulate,lh,26,0,0.0,0.4561880233160324,0.6053343140814642,1.2796020005324323e-06,2.5891710552658664,0.6233592410881273,0.25768986403555316,0.10928352212359518,0.9990986430325619,192.0,192.0,192.0
rejected_images,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
rejected_images,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
precuneus,rh,26,0,0.0,0.3049887374251342,0.2993064364496918,0.0016922147499164758,1.0558703850168365,0.6478819337956858,0.1971026579941452,0.30548624580855893,0.9672309336704425,192.0,192.0,192.0
precuneus,lh,26,0,0.0,0.7978834605028893,0.674755643765875,0.006214400947748776,2.496743087704873,0.4546729253973952,0.22331509846108896,0.11577198167025333,0.9372509629094566,192.0,192.0,192.0
subject,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
subject,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
superiorfrontal,lh,26,0,0.0,0.8039120495532595,0.9757914665431836,2.1773738953114187e-05,3.1341945147467056,0.5349422510836591,0.29630074385588756,0.07829560865265361,0.9962818716463818,192.0,192.0,192.0
superiorfrontal,rh,26,0,0.0,0.4532289590489302,0.4972187671187082,0.0047784057041487145,1.853846093873336,0.5999987203812467,0.2399345828316131,0.17497491937454862,0.9449631767060264,192.0,192.0,192.0
temporalpole,rh,26,0,0.0,0.3274477100761567,0.4481009323811488,0.00024335776029407104,1.9965249161623029,0.6655892291161045,0.22401919968122957,0.15932258613245343,0.9875701940733207,192.0,192.0,192.0
supramarginal,rh,26,0,0.0,0.3869056660962022,0.7490203842525844,2.601948006855053e-06,3.0995853375749842,0.68711977581384,0.24662402517002557,0.07994694512770076,0.99871468796429,192.0,192.0,192.0
visit,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
