region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parsorbitalis,lh,26,4,0.15384615384615385,3.1383855957295315,0.7323170666036014,2.0240922666426315,4.790897873786363,0.08596862808038115,0.03595345303123272,0.02978610069912272,0.15640295880356075,201.0,201.0,201.0
paracentral,lh,26,3,0.11538461538461539,3.333019973557052,0.5886869422073008,2.0030987098810233,4.436867803064879,0.07442248369120624,0.02950505919573448,0.03643688455499707,0.15855687508612865,201.0,201.0,201.0
frontalpole,lh,26,2,0.07692307692307693,2.4465466757678294,1.0346706888286505,0.38123870867836224,4.488718133113619,0.15375680178941933,0.11565977354599494,0.035372270153939865,0.5376540815738247,201.0,201.0,201.0
transversetemporal,lh,26,1,0.038461538461538464,3.214889382056035,0.4436405435364504,2.3101551563770064,4.355546419465989,0.0772354639260632,0.020191006979892737,0.03817528893209745,0.1301345477601397,201.0,201.0,201.0
bankssts,lh,26,0,0.0,2.466595729368042,0.45886778051107385,1.658143738986657,3.399246530814287,0.12328198409861738,0.03585414248105279,0.06672827396587212,0.19936477067375125,201.0,201.0,201.0
bankssts,rh,26,0,0.0,1.874462336354708,0.5953833953611161,0.7091326925411379,3.0454908237617913,0.18814708821623902,0.07466443586991414,0.08252091312534351,0.40075302111550704,201.0,201.0,201.0
caudalanteriorcingulate,lh,26,0,0.0,1.409378695044532,0.2610314203923604,1.0362728361179683,2.0925380141483654,0.24103360512955738,0.04154746352797014,0.14960919449384677,0.3099384452944129,201.0,201.0,201.0
entorhinal,rh,26,0,0.0,1.408329270454136,0.7561500311940246,0.04470675109160903,2.869011265605918,0.28915151964965025,0.17969262840051575,0.09188077180706812,0.832762747744973,201.0,201.0,201.0
entorhinal,lh,26,0,0.0,1.7339268022012866,0.9063139165151209,0.34082834928751565,3.8267718396504495,0.2323275961293418,0.13519178961307424,0.051853583150857314,0.5600193147379273,201.0,201.0,201.0
cuneus,lh,26,0,0.0,0.7591814354442634,0.2447227020971131,0.17026642307730308,1.317067265140348,0.39638990504545935,0.08579015532117641,0.252510837501222,0.680323853511383,201.0,201.0,201.0
