region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
Right-Hippocampus,0.6661310010761431,0.023405264653345796,0.035136128802794486,212,hc,0.6485873890653575,0.6841576729032709
Right-Inf-Lat-Vent,0.6533695841350418,0.10357741429525798,0.15852806253963922,212,hc,0.6361620641949762,0.671050909664107
Right-Lateral-Ventricle,0.18147211269453664,0.009835849966988865,0.05420033866881289,212,hc,0.1766927579869082,0.18638306596954574
Right-Pallidum,0.5631577997309626,0.03739769478462855,0.06640713278319958,212,hc,0.5483261496150443,0.5783978363397332
Right-Putamen,0.6288029432022122,0.02977665656599121,0.04735451207392894,212,hc,0.6122424245520395,0.645819452391435
Right-Thalamus,0.5826413136488099,0.025990166502894593,0.04460748988109055,212,hc,0.5672965344213066,0.5984086082757014
Right-VentralDC,0.5056355284330502,0.023987948665580492,0.047441185036815846,212,hc,0.4923188181833135,0.519318911612145
Right-WM-hypointensities,,,,212,hc,,
Right-choroid-plexus,0.5548662273585906,0.07769352457511235,0.1400220823404012,212,hc,0.5402529488969344,0.5698818794936673
Right-non-WM-hypointensities,,,,212,hc,,
Right-vessel,0.8205427787686267,0.7088112979282264,0.8638322294322379,212,hc,0.7989324887119968,0.8427481038009184
SubCortGrayVol,0.4299749638267914,0.008327290285059972,0.01936691897348351,212,hc,0.41865089404540834,0.44161083958435987
SupraTentorialVol,0.23437595338451767,0.003584737747120559,0.015294818838515533,212,hc,0.2282032924751871,0.2407185772663177
SupraTentorialVolNotVent,0.22787232583784556,0.0037120005864580345,0.01628982621215488,212,hc,0.22187094823188497,0.234038950165083
SurfaceHoles,0.5814851199177926,0.3705502703204544,0.6372480698609122,212,hc,0.5661707908783057,0.5972211259168858
TotalGrayVol,0.1527987245493394,0.003000307392453368,0.01963568348690342,212,hc,0.14877452880570052,0.15693372571067973
TotalVentricle,0.3492841158915382,0.022061113791535213,0.06316094201771764,212,hc,0.3400851670348838,0.35873635594857395
WM-hypointensities,0.7092758795498421,0.888920315226993,1.2532786477825333,212,hc,0.6905959790207736,0.7284701273702958
lhCerebralWhiteMatterVol,0.3068961002727752,0.007474902940391399,0.024356461140260695,212,hc,0.2988135067557182,0.31520124637122293
lhCortexVol,0.21045505446518303,0.005152026102671347,0.024480410393392004,212,hc,0.2049123882099251,0.2161503369172461
lhSurfaceHoles,0.7088883065631132,0.5924993233635596,0.8358147791097872,212,hc,0.6902186133807889,0.7280720659795901
non-WM-hypointensities,,0.0,,212,hc,,
rhCerebralWhiteMatterVol,0.296442682068615,0.007230031087993419,0.024389305337346616,212,hc,0.28863539583025244,0.30446494035800764
rhCortexVol,0.19257801435687866,0.004476108725955854,0.023243093148010603,212,hc,0.18750616818814225,0.1977895127863513
rhSurfaceHoles,0.6327376395800911,0.5965648605373421,0.9428313146239339,212,hc,0.6160734944862876,0.6498606285461578
