region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
Left-Accumbens-area,0.5003025846298924,0.07691036468058338,0.1537276980839089,178,pd,0.4859370824724928,0.515100212509894
Left-Amygdala,0.5862330272255488,0.05209305482439601,0.08886066189572357,178,pd,0.5694001503305044,0.6035722504363741
Left-Caudate,0.48294482747083334,0.01730525090921304,0.035832769966375015,178,pd,0.46907772949037907,0.4972290587801152
Left-Cerebellum-Cortex,0.30043052393897113,0.008402977008312126,0.027969784488406677,178,pd,0.2918040737218756,0.30931646463490325
Left-Cerebellum-White-Matter,0.4890086397620038,0.036621225051043135,0.07488870762869622,178,pd,0.4749674277329177,0.5034722226088862
Left-Hippocampus,0.6085003189684643,0.02179770864149129,0.03582201678783501,178,pd,0.5910280673482045,0.6264981498044148
Left-Inf-Lat-Vent,0.5083697487870642,0.10625572148885001,0.20901267579821375,178,pd,0.4937726090813803,0.523405982056908
Left-Lateral-Ventricle,0.16805243614608734,0.009385375198504558,0.055847897321440125,178,pd,0.1632270410588347,0.17302298295279064
Left-Pallidum,0.5498802879357694,0.03594579722852517,0.0653702233325446,178,pd,0.5340912300629294,0.5661442932185745
Left-Putamen,0.5670864870528414,0.027215972479352188,0.047992630931472345,178,pd,0.5508033767842501,0.583859406220135
Left-Thalamus,0.4356140107204493,0.02481945092892808,0.056975786632482074,178,pd,0.4231059521913745,0.44849832159148906
Left-VentralDC,0.5181365035222878,0.022907879482247692,0.044212054789655064,178,pd,0.5032589248572021,0.5334616115783253
Left-WM-hypointensities,,,,178,pd,,
Left-choroid-plexus,0.692150448981499,0.10105760108910994,0.14600525252539592,178,pd,0.6722762986701541,0.7126224295301925
Left-non-WM-hypointensities,,,,178,pd,,
Left-vessel,0.9281475277856723,1.1722390553069597,1.2629878550704419,178,pd,0.9014970452129034,0.9555996780560453
MaskVol,0.1591316551241532,0.002468716824660665,0.015513675281857608,178,pd,0.15456240802204657,0.16383834881073078
MaskVol-to-eTIV,0.14759008078045616,0.0024671274823985265,0.016716079219906647,178,pd,0.1433522341472414,0.15195540520864034
Optic-Chiasm,0.6519023279335161,0.1586718673867135,0.24339822176995748,178,pd,0.6331838471859689,0.6711838754594062
Right-Accumbens-area,0.5191358363853223,0.061703082477959074,0.11885729736477045,178,pd,0.5042295632484491,0.5344905020656651
Right-Amygdala,0.5346873871148109,0.033625789856598795,0.06288869097519685,178,pd,0.5193345725399784,0.5505020265544781
Right-Caudate,0.4644037257856046,0.023376637305863153,0.05033688579116859,178,pd,0.45106901009627276,0.47813956032130944
Right-Cerebellum-Cortex,0.33112002681276786,0.010135611601900602,0.03061008329656784,178,pd,0.32161236963555,0.3409136818745665
Right-Cerebellum-White-Matter,0.49990078566193064,0.0418777528772961,0.08377212854715714,178,pd,0.4855468206105113,0.5146865293906343
Right-Hippocampus,0.5751734402698307,0.018441948386093258,0.03206328229871254,178,pd,0.5586581242372589,0.5921855501350428
Right-Inf-Lat-Vent,0.5588377217880497,0.09752497031306463,0.17451393581847882,178,pd,0.5427914634943386,0.5753666642848086
Right-Lateral-Ventricle,0.19410371575759858,0.011528814643561381,0.05939512594369314,178,pd,0.18853029392621262,0.19984479054743073
Right-Pallidum,0.581160239203209,0.04057906997227121,0.0698242364754797,178,pd,0.5644730204548897,0.5983494227544865
Right-Putamen,0.6846165032037796,0.03380850508178042,0.04938312898325961,178,pd,0.6649586798066833,0.7048656495527073
Right-Thalamus,0.4090657269508626,0.02272844858211828,0.05556185005166284,178,pd,0.39731996595828634,0.42116480976963144
Right-VentralDC,0.5430053092718174,0.024034678279679544,0.044262326480583765,178,pd,0.5274136569768482,0.5590659708600715
Right-WM-hypointensities,,,,178,pd,,
Right-choroid-plexus,0.6086051828741362,0.0913023314700011,0.15001898445692838,178,pd,0.5911299202307287,0.6266061153072038
Right-non-WM-hypointensities,,,,178,pd,,
Right-vessel,0.6679360339970084,0.6412186526694313,0.9600000898773239,178,pd,0.6487571673827429,0.6876918161624025
SubCortGrayVol,0.4264806046756293,0.008431288126388768,0.01976945266432784,178,pd,0.41423479936744945,0.4390947735404506
SupraTentorialVol,0.25575429807556804,0.004029513330960691,0.01575540806657367,178,pd,0.2484106643754009,0.26331883411415946
SupraTentorialVolNotVent,0.2519963334126421,0.004177739559185653,0.016578572801472617,178,pd,0.24476060451075346,0.25944971879086004
SurfaceHoles,0.5420093978273115,0.4587592770688748,0.8464046544356029,178,pd,0.5264463417627918,0.5580406029877757
